s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-04-3079	pfama1.012	22	1.0	20486(95.8%)	1	0	1.0	20486	2
2017-10-04-3096	pfama1.006	34	0.4146340303391334	70337(98.5%)	3	0	0.829525486020604	22668	2
2017-10-04-3096	pfama1.009	28	0.3414634030339133	70337(98.5%)	3	1	0.12912743641472488	3540	2
2017-10-04-3096	pfama1.015	20	0.2439025666269533	70337(98.5%)	3	2	0.04134707756467115	1155	2
2017-10-04-3313	pfama1.003	40	1.0	24645(97%)	1	0	1.0	24645	2
2017-10-04-3315	pfama1.006	34	0.5151514972451823	38549(85.6%)	2	0	0.6786782462281499	9385	2
2017-10-04-3315	pfama1.008	32	0.48484850275481767	38549(85.6%)	2	1	0.3213217537718501	4268	2
2017-10-09-3001	pfama1.003	40	1.0	93965(91.4%)	1	0	1.0	93965	2
2017-10-09-3163	pfama1.001	53	0.38686001934058123	104185(95.6%)	3	0	0.5951482975741488	62030	2
2017-10-09-3163	pfama1.000	64	0.4671544607596003	104185(95.6%)	3	1	0.34814717407358703	36207	2
2017-10-09-3163	pfama1.015	20	0.14598551989981842	104185(95.6%)	3	2	0.05670452835226417	5948	2
2017-10-09-3164	pfama1.000	64	0.7441864050830495	52493(97.4%)	2	0	0.8932640000000001	46953	2
2017-10-09-3164	pfama1.013	22	0.2558135949169506	52493(97.4%)	2	1	0.106736	5540	2
2017-10-10-3284	pfama1.012	22	0.39285729209177817	40673(80.3%)	2	0	0.733024	29830	2
2017-10-10-3284	pfama1.006	34	0.6071427079082219	40673(80.3%)	2	1	0.26697600000000005	10843	2
2017-10-10-3285	pfama1.006	34	0.31481494855970793	70394(97.4%)	3	0	0.6909070984745878	45168	2
2017-10-10-3285	pfama1.002	50	0.4629626286007302	70394(97.4%)	3	1	0.279350669118418	18277	2
2017-10-10-3285	pfama1.011	24	0.2222224228395619	70394(97.4%)	3	2	0.02974223240699416	1947	2
2017-10-10-3523	pfama1.004	38	1.0	56906(94.9%)	1	0	1.0	56906	2
2017-10-11-3236	pfama1.013	22	1.0	71121(89.4%)	1	0	1.0	71121	2
2017-10-16-3540	pfama1.006	34	1.0	60029(98.3%)	1	0	1.0	60029	2
2017-10-16-3541	pfama1.011	24	1.0	42587(92.7%)	1	0	1.0	42587	2
2017-10-16-3542	pfama1.002	50	0.29761849489843295	48118(97.7%)	4	0	0.8290444480472273	38004	2
2017-10-16-3542	pfama1.006	34	0.20238080867359257	48118(97.7%)	4	1	0.15211183044694557	6804	2
2017-10-16-3542	pfama1.000	64	0.38095306632594317	48118(97.7%)	4	2	0.010185406228514075	495	2
2017-10-16-3542	pfama1.014	20	0.11904763010203136	48118(97.7%)	4	3	0.00865831527731299	418	2
2017-10-16-3546	pfama1.010	27	1.0	45837(96.7%)	1	0	1.0	45837	2
2017-10-16-3547	pfama1.007	33	1.0	29111(80.2%)	1	0	1.0	28914	2
2017-10-16-3549	pfama1.010	27	1.0	46591(91.9%)	1	0	1.0	46591	2
2017-10-17-3575	pfama1.000	64	1.0	14129(84.8%)	1	0	1.0	11213	1
2017-10-17-3577	pfama1.000	64	1.0	43734(94.3%)	1	0	1.0	43734	2
2017-10-17-3578	pfama1.009	28	0.20143884690233504	36851(77.2%)	5	0	0.5120614191061736	11874	2
2017-10-17-3578	pfama1.013	22	0.15827343983228323	36851(77.2%)	5	1	0.2676819278479502	6761	2
2017-10-17-3578	pfama1.005	34	0.24460425397238686	36851(77.2%)	5	2	0.09876547027598027	2140	2
2017-10-17-3578	pfama1.007	33	0.23741001946071155	36851(77.2%)	5	3	0.08305352679927096	1970	2
2017-10-17-3578	pfama1.012	22	0.15827343983228323	36851(77.2%)	5	4	0.03843765597062511	1053	2
2017-10-17-3580	pfama1.006	34	0.5074626778792619	54369(94.3%)	2	0	0.9866243946497578	53618	2
2017-10-17-3580	pfama1.007	33	0.4925373221207382	54369(94.3%)	2	1	0.01337560535024214	751	2
2017-10-17-3595	pfama1.001	53	1.0	11716(81.5%)	1	0	1.0	10308	1
2017-10-17-3602	pfama1.005	34	0.2595416642973951	57590(97.4%)	3	0	0.7291865912287543	6883	2
2017-10-17-3602	pfama1.000	64	0.48855024101073574	57590(97.4%)	3	1	0.1811706213895004	1521	2
2017-10-17-3602	pfama1.007	33	0.25190809469186914	57590(97.4%)	3	2	0.08964278738174525	664	2
2017-10-17-3604	pfama1.014	20	0.2500001218749437	41548(67.5%)	3	0	0.4420064294221233	23462	2
2017-10-17-3604	pfama1.007	33	0.41249988421880357	41548(67.5%)	3	1	0.41933611444842017	9349	2
2017-10-17-3604	pfama1.010	27	0.3374999939062528	41548(67.5%)	3	2	0.13865745612945649	1893	2
2017-10-17-3612	pfama1.009	28	0.15642462847601085	145498(95.7%)	4	0	0.9431327359228339	137167	2
2017-10-17-3612	pfama1.001	53	0.29608840928818686	145498(95.7%)	4	1	0.02633489262623006	3879	2
2017-10-17-3612	pfama1.000	64	0.3575428172028767	145498(95.7%)	4	2	0.02400859327759388	3508	2
2017-10-17-3612	pfama1.005	34	0.18994414503292556	145498(95.7%)	4	3	0.006523778173342111	944	2
2017-10-17-3614	pfama1.001	53	1.0	39558(86.4%)	1	0	1.0	37963	2
2017-10-17-3615	pfama1.005	34	1.0	52094(96%)	1	0	1.0	52094	2
2017-10-17-3616	pfama1.001	53	1.0	45899(95.5%)	1	0	1.0	45899	2
2017-10-17-3617	pfama1.007	33	1.0	59227(95.4%)	1	0	1.0	59227	2
2017-10-18-3627	pfama1.006	34	1.0	10977(83.4%)	1	0	1.0	10616	1
2017-10-18-3630	pfama1.008	32	1.0	54680(96.3%)	1	0	1.0	54680	2
2017-10-18-3642	pfama1.001	53	1.0	70052(92.2%)	1	0	1.0	70052	3
2017-10-23-3122	pfama1.002	50	1.0	26834(84%)	1	0	1.0	26834	2
2017-10-23-3154	pfama1.000	64	1.0	124119(98.4%)	1	0	1.0	124119	2
2017-10-23-3190	pfama1.002	50	1.0	44041(93.1%)	1	0	1.0	44041	2
2017-10-23-3649	pfama1.000	64	1.0	350(84.7%)	1	0	1.0	350	2
2017-10-23-3659	pfama1.012	22	1.0	63168(75.6%)	1	0	1.0	29106	2
2017-10-23-3665	pfama1.001	53	1.0	71529(94.1%)	1	0	1.0	71529	2
2017-10-24-3673	pfama1.010	27	0.442623024187026	34716(75.1%)	2	0	0.6871659999999999	23422	2
2017-10-24-3673	pfama1.005	34	0.5573769758129739	34716(75.1%)	2	1	0.312834	11294	2
2017-10-24-3677	pfama1.001	53	0.7260265702741385	36293(85%)	2	0	0.83418836680332	22562	2
2017-10-24-3677	pfama1.014	20	0.27397342972586153	36293(85%)	2	1	0.16581163319668007	4484	2
2017-10-24-3684	pfama1.014	20	1.0	25054(89.2%)	1	0	1.0	25054	3
2017-10-25-3708	pfama1.005	34	1.0	125585(98.4%)	1	0	1.0	125585	2
2017-10-25-3709	pfama1.015	20	1.0	20229(98.9%)	1	0	1.0	20229	2
2017-10-25-3714	pfama1.004	38	0.6129030837669461	30255(97.7%)	2	0	0.9899313959725584	29927	2
2017-10-25-3714	pfama1.011	24	0.38709691623305387	30255(97.7%)	2	1	0.010068604027441613	328	2
2017-10-25-3718	pfama1.009	28	1.0	92908(91.5%)	1	0	1.0	92908	2
2017-10-25-3719	pfama1.005	34	1.0	89326(98%)	1	0	1.0	77938	2
2017-10-25-3720	pfama1.006	34	0.40476218112259704	112486(97.9%)	2	0	0.8470331256248723	51605	2
2017-10-25-3720	pfama1.002	50	0.595237818877403	112486(97.9%)	2	1	0.15296687437512782	9369	2
2017-10-25-3728	pfama1.004	38	1.0	50928(89.9%)	1	0	1.0	50928	4
2017-10-30-3746	pfama1.009	28	0.34567982670484504	70041(89.5%)	2	0	0.8262120000000001	57854	2
2017-10-30-3746	pfama1.001	53	0.654320173295155	70041(89.5%)	2	1	0.173788	12187	2
2017-10-30-3747	pfama1.002	50	1.0	51636(90.7%)	1	0	1.0	51636	2
2017-10-30-3761	pfama1.007	33	1.0	193315(98.7%)	1	0	1.0	193315	2
2017-10-30-3762	pfama1.008	32	1.0	15123(81.7%)	1	0	1.0	14228	1
2017-10-30-3766	pfama1.003	40	1.0	39266(94.7%)	1	0	1.0	39266	2
2017-10-30-3773	pfama1.003	40	0.5555552546294917	146600(81.7%)	2	0	0.723303	106351	2
2017-10-30-3773	pfama1.008	32	0.44444474537050827	146600(81.7%)	2	1	0.27669699999999997	40249	2
2017-10-30-3777	pfama1.007	33	1.0	39214(85%)	1	0	1.0	39214	2
2017-10-31-3786	pfama1.003	40	0.20618544266123245	29499(98.3%)	5	0	0.6836282050884616	20173	2
2017-10-31-3786	pfama1.002	50	0.2577318033265405	29499(98.3%)	5	1	0.16967305090191528	4991	2
2017-10-31-3786	pfama1.008	32	0.16494855515999357	29499(98.3%)	5	2	0.07859992357997707	2317	2
2017-10-31-3786	pfama1.004	38	0.19587637155917842	29499(98.3%)	5	3	0.04357101307130392	1295	2
