pattern	count	frequency	filter
TFT	40	0.018475750577367205	lfh_05
FTT	93	0.04295612009237875	lfh_05
TTT	95	0.04387990762124711	lfh_05
TTF	98	0.045265588914549654	lfh_05
FFT	108	0.04988452655889145	lfh_05
FTF	129	0.05958429561200924	lfh_05
TFF	191	0.08822170900692841	lfh_05
FFF	1411	0.6517321016166282	lfh_05
TFT	37	0.01768642447418738	lfhu_05
FTT	87	0.04158699808795411	lfhu_05
TTT	91	0.04349904397705545	lfhu_05
TTF	92	0.04397705544933078	lfhu_05
FFT	104	0.0497131931166348	lfhu_05
FTF	124	0.05927342256214149	lfhu_05
TFF	183	0.08747609942638623	lfhu_05
FFF	1374	0.6567877629063098	lfhu_05
TFT	54	0.016589861751152075	lfs_05
TTT	129	0.03963133640552995	lfs_05
FTT	130	0.039938556067588324	lfs_05
TTF	134	0.041167434715821814	lfs_05
FFT	164	0.05038402457757297	lfs_05
FTF	195	0.059907834101382486	lfs_05
TFF	279	0.08571428571428572	lfs_05
FFF	2170	0.6666666666666666	lfs_05
TFT	51	0.016483516483516484	lfsu_05
FTT	124	0.0400775694893342	lfsu_05
TTT	125	0.040400775694893344	lfsu_05
TTF	128	0.04137039431157078	lfsu_05
FFT	154	0.049773755656108594	lfsu_05
FTF	184	0.059469941822882996	lfsu_05
TFF	265	0.08564964447317389	lfsu_05
FFF	2063	0.6667744020685197	lfsu_05
TFT	36	0.017857142857142856	ooslfs_05
TTT	82	0.040674603174603176	ooslfs_05
FTT	85	0.042162698412698416	ooslfs_05
TTF	90	0.044642857142857144	ooslfs_05
FFT	101	0.05009920634920635	ooslfs_05
FTF	124	0.061507936507936505	ooslfs_05
TFF	182	0.09027777777777778	ooslfs_05
FFF	1316	0.6527777777777778	ooslfs_05
TFT	54	0.014229249011857707	ou_05
TTT	129	0.03399209486166008	ou_05
FTT	130	0.034255599472990776	ou_05
TTF	134	0.03530961791831357	ou_05
FFT	195	0.05138339920948617	ou_05
FTF	228	0.06007905138339921	ou_05
TFF	312	0.08221343873517786	ou_05
FFF	2613	0.6885375494071146	ou_05
