02122018-3205-PR2-008-1	02122018-3205	12022018-3205
01042018-3523-PR2-008-1	01042018-3523	04012018-3523
02062018-3616-PR2-008-1	02062018-3616	06022018-3616
03122018-3202-PR2-008-1	03122018-3202	12032018-3202
03062018-3577-PR2-008-1	03062018-3577	06032018-3577
10042017-3079-PR2-008-1	10042017-3079	04102017-3079
03122018-3659-PR2-008-1	03122018-3659	12032018-3659
01092018-3579-PR2-008-1	01092018-3579	09012018-3579
11072017-3284-PR2-008-1	11072017-3284	07112017-3284
11072017-3527-PR2-008-1	11072017-3527	07112017-3527
11072017-3523-PR2-008-1	11072017-3523	07112017-3523
11012017-3510-PR2-008-1	11012017-3510	01112017-3510
11082017-3336-PR2-008-1	11082017-3336	08112017-3336
01102018-3635-PR2-008-1	01102018-3635	10012018-3635
12112017-3547-PR2-008-1	12112017-3547	11122017-3547
12112017-3557-PR2-008-1	12112017-3557	11122017-3557
11082017-3529-PR2-008-1	11082017-3529	08112017-3529
10042017-3093-PR2-008-1	10042017-3093	04102017-3093
01092018-3615-PR2-008-1	01092018-3615	09012018-3615
02072018-3630-PR2-008-1	02072018-3630	07022018-3630
03072018-3642-PR2-008-1	03072018-3642	07032018-3642
01092018-3614-PR2-008-1	01092018-3614	09012018-3614
11012017-3505-PR2-008-1	11012017-3505	01112017-3505
12052017-3523-PR2-008-1	12052017-3523	05122017-3523
11012017-3773-PR2-006-1	11012017-3773	01112017-3773
11062017-3163-PR2-006-1	11062017-3163	06112017-3163
12052017-3285-PR2-006-1	12052017-3285	05122017-3285
02072018-3635-PR2-006-1	02072018-3635	07022018-3635
11062017-3164-PR2-006-1	11062017-3164	06112017-3164
11012017-3096-PR2-006-1	11012017-3096	01112017-3096
12112017-3542-PR2-006-1	12112017-3542	11122017-3542
10092017-3163-PR2-006-1	10092017-3163	09102017-3163
10042017-3096-PR2-006-1	10042017-3096	04102017-3096
01042018-3285-PR2-006-1	01042018-3285	04012018-3285
10042017-3364-PR2-006-2	10042017-3364	04102017-3364
01032018-3164-PR2-006-2	01032018-3164	03012018-3164
02062018-3617-PR2-006-2	02062018-3617	06022018-3617
11072017-3285-PR2-006-2	11072017-3285	07112017-3285
03052018-3542-PR2-006-2	03052018-3542	05032018-3542
01092018-3604-PR2-006-2	01092018-3604	09012018-3604
02122018-3659-PR2-006-2	02122018-3659	12022018-3659
02052018-3542-PR2-006-2	02052018-3542	05022018-3542
03062018-3604-PR2-006-2	03062018-3604	06032018-3604
01102018-3630-PR2-006-2	01102018-3630	10012018-3630
