total	mapped	paired	sample
16	0	0	2017-01-11-3093-PR2-009-A
77090	76321	75844	2017-01-11-3093-PR2-009-B
105182	104515	103954	2017-04-10-3510-PR2-009-A
138	2	2	2017-04-10-3510-PR2-009-B
2	0	0	2017-04-12-3001-PR2-009-A
22	0	0	2017-04-12-3001-PR2-009-B
22	0	0	2017-07-11-3047-PR2-009-B
55314	42676	42394	2017-10-04-3079-PR2-008-A
3004	2919	2882	2017-10-04-3079-PR2-008-B
43364	42883	42640	2017-10-04-3093-PR2-008-A
15038	14890	14780	2017-10-04-3093-PR2-008-B
70614	70072	69698	2017-10-04-3096-PR2-0061-A
81204	80545	80018	2017-10-04-3096-PR2-0061-B
366	360	358	2017-10-04-3313-PR2-0072-A
54080	53798	53534	2017-10-04-3313-PR2-0072-B
50782	50478	50214	2017-10-04-3315-PR2-0071-A
45310	44961	44680	2017-10-04-3315-PR2-0071-B
4832	4669	4630	2017-10-04-3364-PR2-0062-A
15246	14983	14878	2017-10-04-3364-PR2-0062-B
24870	32	18	2017-10-04-3505-PR2-010-a
28186	19	8	2017-10-04-3505-PR2-010-b
41070	40589	40294	2017-10-04-3510-PR2-011-a
39596	39078	38772	2017-10-04-3510-PR2-011-b
100384	99816	99312	2017-10-09-3001-PR2-009-A
119818	119084	118438	2017-10-09-3001-PR2-009-B
22244	16	8	2017-10-09-3003-PR2-010-a
21396	11	6	2017-10-09-3003-PR2-010-b
28506	27725	27372	2017-10-09-3162-PR2-010-a
25216	20	4	2017-10-09-3162-PR2-010-b
128690	127615	126774	2017-10-09-3163-PR2-0061-A
103250	102389	101704	2017-10-09-3163-PR2-0061-B
54582	54154	53812	2017-10-09-3164-PR2-0071-A
59858	59450	59116	2017-10-09-3164-PR2-0071-B
52082	51728	51440	2017-10-10-3284-PR2-0071-A
55848	55459	55128	2017-10-10-3284-PR2-0071-B
75786	75170	74722	2017-10-10-3285-PR2-0061-A
77902	77274	76774	2017-10-10-3285-PR2-0061-B
61864	61439	61068	2017-10-10-3523-PR2-008-A
67040	66614	66254	2017-10-10-3523-PR2-008-B
90	0	0	2017-10-10-3527-PR2-009-A
79798	79272	78848	2017-10-10-3527-PR2-009-B
29110	12	8	2017-10-10-3527-PR2-010-a
15776	13	8	2017-10-10-3527-PR2-010-b
31660	61	40	2017-10-11-3038-PR2-010-a
21240	12	4	2017-10-11-3038-PR2-010-b
