s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt	R1_fracChiExcluded	R2_fracChiExcluded
2017-10-04-3079	pfama1.15	22	0.0526316	20497(95.8%)	1	0	1	20497	2	0	0.00144613
2017-10-04-3093	pfama1.37	5	0.0119617	26303(97%)	1	0	1	26303	2	0.0000992654	0.000430911
2017-10-04-3096	pfama1.28	8	0.0191388	70348(98.5%)	5	0	0.559877	39338	2	0.00252472	0.00479434
2017-10-04-3096	pfama1.06	33	0.0789474	70348(98.5%)	5	1	0.322074	22677	2	0.00252472	0.00479434
2017-10-04-3096	pfama1.30	7	0.0167464	70348(98.5%)	5	2	0.0518719	3637	2	0.00252472	0.00479434
2017-10-04-3096	pfama1.11	27	0.0645933	70348(98.5%)	5	3	0.0501153	3540	2	0.00252472	0.00479434
2017-10-04-3096	pfama1.18	18	0.0430622	70348(98.5%)	5	4	0.016062	1156	2	0.00252472	0.00479434
2017-10-04-3313	pfama1.04	35	0.0837321	24660(97.1%)	1	0	1	24660	2	0	0.000158529
2017-10-04-3315	pfama1.21	12	0.0287081	38560(85.5%)	3	0	0.638988	24907	2	0.104908	0.131646
2017-10-04-3315	pfama1.06	33	0.0789474	38560(85.5%)	3	1	0.245109	9389	2	0.104908	0.131646
2017-10-04-3315	pfama1.09	30	0.0717703	38560(85.5%)	3	2	0.115903	4264	2	0.104908	0.131646
2017-10-04-3364	pfama1.20	14	0.0334928	9285(99.1%)	1	0	1	9285	2	0.000896459	0
2017-10-04-3505	pfama1.00	73	0.174641	3375(85.9%)	3	0	0.920071	3101	2	0.0260388	0.0117592
2017-10-04-3505	pfama1.13	25	0.0598086	3375(85.9%)	3	1	0.0714629	245	2	0.0260388	0.0117592
2017-10-04-3505	pfama1.29	8	0.0191388	3375(85.9%)	3	2	0.00846635	29	2	0.0260388	0.0117592
2017-10-04-3510	pfama1.30	7	0.0167464	18380(50.4%)	2	0	0.991906	18215	2	0.175157	0.0119268
2017-10-04-3510	pfama1.61	1	0.00239234	18380(50.4%)	2	1	0.00809414	165	2	0.175157	0.0119268
2017-10-09-3001	pfama1.04	35	0.0837321	93973(91.4%)	1	0	1	93973	2	0.00337261	0.00209112
2017-10-09-3003	pfama1.00	73	0.174641	3962(83.6%)	5	0	0.927778	3677	2	0.0146489	0.0442881
2017-10-09-3003	pfama1.13	25	0.0598086	3962(83.6%)	5	1	0.0325223	128	2	0.0146489	0.0442881
2017-10-09-3003	pfama1.10	29	0.069378	3962(83.6%)	5	2	0.0209555	83	2	0.0146489	0.0442881
2017-10-09-3003	pfama1.47	2	0.00478469	3962(83.6%)	5	3	0.0121871	48	2	0.0146489	0.0442881
2017-10-09-3003	pfama1.65	1	0.00239234	3962(83.6%)	5	4	0.00655702	26	2	0.0146489	0.0442881
2017-10-09-3162	pfama1.00	73	0.174641	4085(23.9%)	1	0	1	4085	2	0.00240693	0.00173875
2017-10-09-3163	pfama1.03	47	0.11244	104278(95.7%)	3	0	0.594775	62044	2	0.0384609	0.0271219
2017-10-09-3163	pfama1.01	58	0.138756	104278(95.7%)	3	1	0.348542	36283	2	0.0384609	0.0271219
2017-10-09-3163	pfama1.18	18	0.0430622	104278(95.7%)	3	2	0.0566829	5951	2	0.0384609	0.0271219
2017-10-09-3164	pfama1.01	58	0.138756	52543(97.4%)	2	0	0.893145	46991	2	0.00241133	0.00127465
2017-10-09-3164	pfama1.16	22	0.0526316	52543(97.4%)	2	1	0.106855	5552	2	0.00241133	0.00127465
2017-10-10-3284	pfama1.15	22	0.0526316	40695(80.3%)	2	0	0.732995	29845	2	0.193771	0.174212
2017-10-10-3284	pfama1.06	33	0.0789474	40695(80.3%)	2	1	0.267005	10850	2	0.193771	0.174212
2017-10-10-3285	pfama1.06	33	0.0789474	70425(97.4%)	5	0	0.641858	45190	2	0.00937273	0.0139637
2017-10-10-3285	pfama1.02	48	0.114833	70425(97.4%)	5	1	0.259495	18284	2	0.00937273	0.0139637
2017-10-10-3285	pfama1.42	4	0.00956938	70425(97.4%)	5	2	0.0434604	3063	2	0.00937273	0.0139637
2017-10-10-3285	pfama1.14	23	0.0550239	70425(97.4%)	5	3	0.0276178	1947	2	0.00937273	0.0139637
2017-10-10-3285	pfama1.26	10	0.0239234	70425(97.4%)	5	4	0.0275684	1941	2	0.00937273	0.0139637
2017-10-10-3523	pfama1.05	34	0.0813397	56913(94.9%)	1	0	1	56913	2	0.000451655	0.000801667
2017-10-11-3038	pfama1.00	73	0.174641	5253(89.3%)	3	0	0.971209	5106	2	0.00652432	0.0202945
2017-10-11-3038	pfama1.13	25	0.0598086	5253(89.3%)	3	1	0.0188238	92	2	0.00652432	0.0202945
2017-10-11-3038	pfama1.29	8	0.0191388	5253(89.3%)	3	2	0.00996738	55	2	0.00652432	0.0202945
2017-10-11-3236	pfama1.16	22	0.0526316	71198(89.3%)	1	0	1	71198	2	0.00228305	0.0040847
2017-10-11-3336	pfama1.00	73	0.174641	3330(86.7%)	2	0	0.897242	3043	2	0.0163079	0.0160381
2017-10-11-3336	pfama1.13	25	0.0598086	3330(86.7%)	2	1	0.102758	287	2	0.0163079	0.0160381
2017-10-16-3540	pfama1.06	33	0.0789474	60049(98.3%)	1	0	1	60049	2	0.000186075	0.000450763
