filtered	sample
21198	2017-10-04-3079-PR2-008-A
1441	2017-10-04-3079-PR2-008-B
21320	2017-10-04-3093-PR2-008-A
7390	2017-10-04-3093-PR2-008-B
34849	2017-10-04-3096-PR2-0061-A
40009	2017-10-04-3096-PR2-0061-B
179	2017-10-04-3313-PR2-0072-A
26767	2017-10-04-3313-PR2-0072-B
25107	2017-10-04-3315-PR2-0071-A
22340	2017-10-04-3315-PR2-0071-B
2315	2017-10-04-3364-PR2-0062-A
7439	2017-10-04-3364-PR2-0062-B
9	2017-10-04-3505-PR2-010-a
5	2017-10-04-3505-PR2-010-b
51977	2017-10-04-3510-PR2-009-A
1	2017-10-04-3510-PR2-009-B
20147	2017-10-04-3510-PR2-011-a
19386	2017-10-04-3510-PR2-011-b
49656	2017-10-09-3001-PR2-009-A
59219	2017-10-09-3001-PR2-009-B
4	2017-10-09-3003-PR2-010-a
3	2017-10-09-3003-PR2-010-b
13686	2017-10-09-3162-PR2-010-a
3	2017-10-09-3162-PR2-010-b
63387	2017-10-09-3163-PR2-0061-A
50852	2017-10-09-3163-PR2-0061-B
26906	2017-10-09-3164-PR2-0071-A
29558	2017-10-09-3164-PR2-0071-B
25720	2017-10-10-3284-PR2-0071-A
27564	2017-10-10-3284-PR2-0071-B
37361	2017-10-10-3285-PR2-0061-A
38387	2017-10-10-3285-PR2-0061-B
30534	2017-10-10-3523-PR2-008-A
33127	2017-10-10-3523-PR2-008-B
0	2017-10-10-3527-PR2-009-A
39424	2017-10-10-3527-PR2-009-B
4	2017-10-10-3527-PR2-010-a
4	2017-10-10-3527-PR2-010-b
20	2017-10-11-3038-PR2-010-a
2	2017-10-11-3038-PR2-010-b
44913	2017-10-11-3236-PR2-009-A
39316	2017-10-11-3236-PR2-009-B
5	2017-10-11-3336-PR2-010-a
9	2017-10-11-3336-PR2-010-b
13177	2017-10-11-3529-PR2-010-a
1	2017-10-11-3529-PR2-010-b
0	2017-10-11-3530-PR2-009-A
38724	2017-10-11-3530-PR2-009-B
2	2017-10-11-3530-PR2-011-a
11110	2017-10-11-3530-PR2-011-b
33649	2017-10-16-3540-PR2-0062-A
30211	2017-10-16-3540-PR2-0062-B
23107	2017-10-16-3541-PR2-008-A
25664	2017-10-16-3541-PR2-008-B
17377	2017-10-16-3542-PR2-0061-A
34390	2017-10-16-3542-PR2-0061-B
20606	2017-10-16-3546-PR2-0072-A
29581	2017-10-16-3546-PR2-0072-B
16489	2017-10-16-3547-PR2-010-a
22977	2017-10-16-3547-PR2-010-b
28213	2017-10-16-3549-PR2-008-A
25486	2017-10-16-3549-PR2-008-B
23870	2017-10-16-3557-PR2-0071-A
28799	2017-10-16-3557-PR2-0071-B
2	2017-10-17-3575-PR2-010-a
17931	2017-10-17-3575-PR2-010-b
21024	2017-10-17-3577-PR2-008-A
28328	2017-10-17-3577-PR2-008-B
31108	2017-10-17-3578-PR2-0071-A
19082	2017-10-17-3578-PR2-0071-B
41675	2017-10-17-3579-PR2-009-A
51127	2017-10-17-3579-PR2-009-B
35287	2017-10-17-3580-PR2-0072-A
25448	2017-10-17-3580-PR2-0072-B
