s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-04-3093	pfama1.033	5	1.0	26303(97%)	1	0	1.0	26303	2
2017-10-04-3096	pfama1.006	34	0.4146340303391334	70337(98.5%)	3	0	0.829525486020604	22668	2
2017-10-04-3096	pfama1.009	28	0.3414634030339133	70337(98.5%)	3	1	0.12912743641472488	3540	2
2017-10-04-3096	pfama1.015	20	0.2439025666269533	70337(98.5%)	3	2	0.04134707756467115	1155	2
2017-10-04-3313	pfama1.003	40	1.0	24645(97%)	1	0	1.0	24645	2
2017-10-04-3315	pfama1.006	34	0.5151514972451823	38549(85.6%)	2	0	0.6786782462281499	9385	2
2017-10-04-3315	pfama1.008	32	0.48484850275481767	38549(85.6%)	2	1	0.3213217537718501	4268	2
2017-10-04-3364	pfama1.016	16	1.0	9274(99.1%)	1	0	1.0	9274	2
2017-10-09-3001	pfama1.003	40	1.0	93965(91.4%)	1	0	1.0	93965	2
2017-10-09-3162	pfama1.041	2	1.0	10946(88%)	1	0	1.0	10754	1
2017-10-09-3163	pfama1.001	53	0.7260265702741385	104185(95.6%)	2	0	0.9130102285409659	62030	2
2017-10-09-3163	pfama1.015	20	0.27397342972586153	104185(95.6%)	2	1	0.08698977145903405	5948	2
2017-10-09-3164	pfama1.013	22	1.0	52493(97.4%)	1	0	1.0	5540	2
2017-10-10-3284	pfama1.006	34	1.0	40673(80.3%)	1	0	1.0	10843	2
2017-10-10-3285	pfama1.006	34	0.31481494855970793	70394(97.4%)	3	0	0.6909070984745878	45168	2
2017-10-10-3285	pfama1.002	50	0.4629626286007302	70394(97.4%)	3	1	0.279350669118418	18277	2
2017-10-10-3285	pfama1.011	24	0.2222224228395619	70394(97.4%)	3	2	0.02974223240699416	1947	2
2017-10-10-3523	pfama1.004	38	1.0	56906(94.9%)	1	0	1.0	56906	2
2017-10-11-3236	pfama1.013	22	1.0	71121(89.4%)	1	0	1.0	71121	2
2017-10-11-3529	pfama1.016	16	1.0	10550(87.2%)	1	0	1.0	9981	1
2017-10-11-3530	pfama1.017	15	1.0	44204(93.8%)	1	0	1.0	44204	2
2017-10-16-3540	pfama1.006	34	1.0	60029(98.3%)	1	0	1.0	60029	2
2017-10-16-3541	pfama1.011	24	1.0	42587(92.7%)	1	0	1.0	42587	2
2017-10-16-3542	pfama1.002	50	0.5050503060910946	48118(97.7%)	3	0	0.8013708024216003	38004	2
2017-10-16-3542	pfama1.006	34	0.34343460208157706	48118(97.7%)	3	1	0.14703431150188845	6804	2
2017-10-16-3542	pfama1.018	15	0.15151509182732842	48118(97.7%)	3	2	0.05159488607651132	2397	2
2017-10-16-3546	pfama1.010	27	1.0	45837(96.7%)	1	0	1.0	45837	2
2017-10-16-3547	pfama1.007	33	1.0	29111(80.2%)	1	0	1.0	28914	2
2017-10-16-3549	pfama1.010	27	1.0	46591(91.9%)	1	0	1.0	46591	2
2017-10-17-3578	pfama1.009	28	0.2258064820499401	36851(77.2%)	5	0	0.4847052053205039	11874	2
2017-10-17-3578	pfama1.013	22	0.1774194461498204	36851(77.2%)	5	1	0.2533813698063954	6761	2
2017-10-17-3578	pfama1.005	34	0.27419351795005986	36851(77.2%)	5	2	0.09348905377846689	2140	2
2017-10-17-3578	pfama1.029	7	0.05645154188347306	36851(77.2%)	5	3	0.08980787069493162	2198	2
2017-10-17-3578	pfama1.007	33	0.2661290119667066	36851(77.2%)	5	4	0.07861650039970225	1970	2
2017-10-17-3580	pfama1.006	34	0.5074626778792619	54369(94.3%)	2	0	0.9866243946497578	53618	2
2017-10-17-3580	pfama1.007	33	0.4925373221207382	54369(94.3%)	2	1	0.01337560535024214	751	2
2017-10-17-3595	pfama1.001	53	1.0	11716(81.5%)	1	0	1.0	10308	1
2017-10-17-3602	pfama1.017	15	0.18292665526471488	57590(97.4%)	3	0	0.8714817643689134	46680	2
2017-10-17-3602	pfama1.005	34	0.414634227543133	57590(97.4%)	3	1	0.11444847559035068	6883	2
2017-10-17-3602	pfama1.007	33	0.40243911719215203	57590(97.4%)	3	2	0.014069760040735787	664	2
2017-10-17-3604	pfama1.007	33	0.44000006239999756	41548(67.5%)	3	0	0.4846034144130533	9349	2
2017-10-17-3604	pfama1.017	15	0.19999979200000836	41548(67.5%)	3	1	0.3551578788336607	6844	2
