s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-04-3079	pfama1.012	22	1.0	20486(95.8%)	1	0	1.0	20486	2
2017-10-04-3093	pfama1.033	5	1.0	26303(97%)	1	0	1.0	26303	2
2017-10-04-3096	pfama1.026	8	0.08163255560185145	70337(98.5%)	5	0	0.5599816640110015	39339	2
2017-10-04-3096	pfama1.006	34	0.3469387592669752	70337(98.5%)	5	1	0.3219948068031159	22668	2
2017-10-04-3096	pfama1.025	8	0.08163255560185145	70337(98.5%)	5	2	0.05185086888947866	3635	2
2017-10-04-3096	pfama1.009	28	0.28571434256558664	70337(98.5%)	5	3	0.05012306992615803	3540	2
2017-10-04-3096	pfama1.015	20	0.2040817869637352	70337(98.5%)	5	4	0.016049590370245777	1155	2
2017-10-04-3313	pfama1.003	40	1.0	24645(97%)	1	0	1.0	24645	2
2017-10-04-3315	pfama1.019	12	0.15384599999999998	38549(85.6%)	3	0	0.638904361095639	24896	2
2017-10-04-3315	pfama1.006	34	0.43589749999999994	38549(85.6%)	3	1	0.24506775493224506	9385	2
2017-10-04-3315	pfama1.008	32	0.4102565	38549(85.6%)	3	2	0.11602788397211602	4268	2
2017-10-04-3364	pfama1.016	16	1.0	9274(99.1%)	1	0	1.0	9274	2
2017-10-04-3510	pfama1.025	8	1.0	62120(72.5%)	1	0	1.0	62120	3
2017-10-09-3001	pfama1.003	40	1.0	93965(91.4%)	1	0	1.0	93965	2
2017-10-09-3162	pfama1.041	2	0.40000046800010297	10946(88%)	4	0	0.9824593536853673	10754	1
2017-10-09-3162	pfama1.142	1	0.19999984399996565	10946(88%)	4	1	0.0058468821048775575	64	1
2017-10-09-3162	pfama1.143	1	0.19999984399996565	10946(88%)	4	2	0.0058468821048775575	64	1
2017-10-09-3162	pfama1.144	1	0.19999984399996565	10946(88%)	4	3	0.0058468821048775575	64	1
2017-10-09-3163	pfama1.001	53	0.38686001934058123	104185(95.6%)	3	0	0.5951482975741488	62030	2
2017-10-09-3163	pfama1.000	64	0.4671544607596003	104185(95.6%)	3	1	0.34814717407358703	36207	2
2017-10-09-3163	pfama1.015	20	0.14598551989981842	104185(95.6%)	3	2	0.05670452835226417	5948	2
2017-10-09-3164	pfama1.000	64	0.7441864050830495	52493(97.4%)	2	0	0.8932640000000001	46953	2
2017-10-09-3164	pfama1.013	22	0.2558135949169506	52493(97.4%)	2	1	0.106736	5540	2
2017-10-10-3284	pfama1.012	22	0.39285729209177817	40673(80.3%)	2	0	0.733024	29830	2
2017-10-10-3284	pfama1.006	34	0.6071427079082219	40673(80.3%)	2	1	0.26697600000000005	10843	2
2017-10-10-3285	pfama1.006	34	0.27868866608443693	70394(97.4%)	5	0	0.6418309358169064	45168	2
2017-10-10-3285	pfama1.002	50	0.40983580354733895	70394(97.4%)	5	1	0.2595079740492026	18277	2
2017-10-10-3285	pfama1.039	4	0.03278686428378712	70394(97.4%)	5	2	0.04346519565348043	3062	2
2017-10-10-3285	pfama1.011	24	0.19672150537496913	70394(97.4%)	5	3	0.027629597237040275	1947	2
2017-10-10-3285	pfama1.023	10	0.08196716070946782	70394(97.4%)	5	4	0.027566297243370275	1940	2
2017-10-10-3523	pfama1.004	38	1.0	56906(94.9%)	1	0	1.0	56906	2
2017-10-11-3236	pfama1.013	22	1.0	71121(89.4%)	1	0	1.0	71121	2
2017-10-11-3336	pfama1.048	1	1.0	4(100%)	1	0	1.0	4	1
2017-10-11-3529	pfama1.016	16	0.8421052631578947	10550(87.2%)	4	0	0.9586054216601949	9981	1
2017-10-11-3529	pfama1.068	1	0.05263157894736842	10550(87.2%)	4	1	0.027660423230232347	288	1
2017-10-11-3529	pfama1.119	1	0.05263157894736842	10550(87.2%)	4	2	0.0074913536479332505	78	1
2017-10-11-3529	pfama1.136	1	0.05263157894736842	10550(87.2%)	4	3	0.006242801461639561	65	1
2017-10-11-3530	pfama1.017	15	1.0	44204(93.8%)	1	0	1.0	44204	2
2017-10-16-3540	pfama1.006	34	1.0	60029(98.3%)	1	0	1.0	60029	2
2017-10-16-3541	pfama1.011	24	1.0	42587(92.7%)	1	0	1.0	42587	2
2017-10-16-3542	pfama1.002	50	0.27322357789157625	48118(97.7%)	5	0	0.7870351810180917	38004	2
2017-10-16-3542	pfama1.006	34	0.18579224608087572	48118(97.7%)	5	1	0.14440403321292763	6804	2
2017-10-16-3542	pfama1.018	15	0.08196707336747289	48118(97.7%)	5	2	0.05067191165453968	2397	2
2017-10-16-3542	pfama1.000	64	0.34972745838884084	48118(97.7%)	5	3	0.009669292223937212	495	2
2017-10-16-3542	pfama1.014	20	0.10928964427123439	48118(97.7%)	5	4	0.008219581890503836	418	2
2017-10-16-3546	pfama1.010	27	1.0	45837(96.7%)	1	0	1.0	45837	2
2017-10-16-3547	pfama1.007	33	0.9428571014693972	29111(80.2%)	2	0	0.993122890756482	28914	2
2017-10-16-3547	pfama1.045	2	0.05714289853060291	29111(80.2%)	2	1	0.006877109243517983	197	2
2017-10-16-3549	pfama1.010	27	1.0	46591(91.9%)	1	0	1.0	46591	2
2017-10-16-3557	pfama1.020	11	1.0	47808(95.5%)	1	0	1.0	47808	2
2017-10-17-3575	pfama1.000	64	0.9552240369788927	14129(84.8%)	4	0	0.8169167868033048	11213	1
2017-10-17-3575	pfama1.051	1	0.014925321007035693	14129(84.8%)	4	1	0.16129972628486708	2214	1
2017-10-17-3575	pfama1.081	1	0.014925321007035693	14129(84.8%)	4	2	0.014862315445480983	204	1
2017-10-17-3575	pfama1.129	1	0.014925321007035693	14129(84.8%)	4	3	0.006921171466347186	95	1
2017-10-17-3577	pfama1.000	64	1.0	43734(94.3%)	1	0	1.0	43734	2
2017-10-17-3578	pfama1.009	28	0.17073173805769717	36851(77.2%)	9	0	0.3311790662358132	11874	2
2017-10-17-3578	pfama1.040	3	0.018292684521861644	36851(77.2%)	9	1	0.21814404362880874	8027	2
2017-10-17-3578	pfama1.013	22	0.1341464165749394	36851(77.2%)	9	2	0.17312503462500692	6761	2
2017-10-17-3578	pfama1.005	34	0.20731705954045496	36851(77.2%)	9	3	0.06387721277544255	2140	2
2017-10-17-3578	pfama1.037	5	0.030487767902298173	36851(77.2%)	9	4	0.06349071269814253	2420	2
2017-10-17-3578	pfama1.029	7	0.042682875063217426	36851(77.2%)	9	5	0.061362012272402455	2198	2
2017-10-17-3578	pfama1.007	33	0.20121950595999533	36851(77.2%)	9	6	0.05371541074308214	1970	2
2017-10-17-3578	pfama1.012	22	0.1341464165749394	36851(77.2%)	9	7	0.024859804971960994	1053	2
2017-10-17-3578	pfama1.022	10	0.060975535804596345	36851(77.2%)	9	8	0.01024670204934041	408	2
2017-10-17-3579	pfama1.032	5	1.0	78912(89.9%)	1	0	1.0	78912	2
2017-10-17-3580	pfama1.006	34	0.5074626778792619	54369(94.3%)	2	0	0.9866243946497578	53618	2
2017-10-17-3580	pfama1.007	33	0.4925373221207382	54369(94.3%)	2	1	0.01337560535024214	751	2
2017-10-17-3595	pfama1.001	53	0.9298243537389923	11716(81.5%)	4	0	0.9532969217254014	10308	1
2017-10-17-3595	pfama1.069	1	0.017543894459937676	11716(81.5%)	4	1	0.025524813238980322	276	1
2017-10-17-3595	pfama1.094	1	0.017543894459937676	11716(81.5%)	4	2	0.012577505446647881	136	1
2017-10-17-3595	pfama1.044	2	0.03508785734113217	11716(81.5%)	4	3	0.00860075958897049	93	1
2017-10-17-3602	pfama1.017	15	0.09615365384634615	57590(97.4%)	5	0	0.8215108356978329	46680	2
2017-10-17-3602	pfama1.005	34	0.2179485320514679	57590(97.4%)	5	1	0.1078859784228043	6883	2
2017-10-17-3602	pfama1.023	10	0.0641024358975641	57590(97.4%)	5	2	0.03053529389294122	1842	2
2017-10-17-3602	pfama1.000	64	0.4102570897429102	57590(97.4%)	5	3	0.02680489463902107	1521	2
2017-10-17-3602	pfama1.007	33	0.2115382884617115	57590(97.4%)	5	4	0.013262997347400527	664	2
2017-10-17-3604	pfama1.014	20	0.21052646703597605	41548(67.5%)	4	0	0.3381	23462	2
2017-10-17-3604	pfama1.007	33	0.347368403767317	41548(67.5%)	4	1	0.320759	9349	2
2017-10-17-3604	pfama1.017	15	0.1578945423823165	41548(67.5%)	4	2	0.235079	6844	2
2017-10-17-3604	pfama1.010	27	0.2842105868143904	41548(67.5%)	4	3	0.10606199999999999	1893	2
2017-10-17-3612	pfama1.009	28	0.15642462847601085	145498(95.7%)	4	0	0.9431327359228339	137167	2
2017-10-17-3612	pfama1.001	53	0.29608840928818686	145498(95.7%)	4	1	0.02633489262623006	3879	2
