s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-04-3079	pfama1.11	57	1.0	19328(96.1%)	1	0	1.0	19328	2
2017-10-04-3093	pfama1.36	8	1.0	24846(97.2%)	1	0	1.0	24846	2
2017-10-04-3096	pfama1.18	30	0.1067614825356847	65131(98.8%)	6	0	0.5583095756847225	36320	2
2017-10-04-3096	pfama1.10	62	0.22064070934004973	65131(98.8%)	6	1	0.3205167564072651	20900	2
2017-10-04-3096	pfama1.27	15	0.05338089731765969	65131(98.8%)	6	2	0.051536260832441776	3347	2
2017-10-04-3096	pfama1.05	71	0.2526689980509378	65131(98.8%)	6	3	0.050206761842861	3282	2
2017-10-04-3096	pfama1.13	49	0.17437724419143572	65131(98.8%)	6	4	0.015933387890625202	1059	2
2017-10-04-3096	pfama1.12	54	0.19217066856423246	65131(98.8%)	6	5	0.0034972573420844195	223	2
2017-10-04-3313	pfama1.04	80	1.0	65079(96.4%)	1	0	1.0	65079	5
2017-10-04-3315	pfama1.24	20	0.11764693743948057	36520(87.6%)	4	0	0.6374237195335634	23528	2
2017-10-04-3315	pfama1.10	62	0.36470602194459734	36520(87.6%)	4	1	0.24082889403528662	8736	2
2017-10-04-3315	pfama1.14	39	0.22941178594809092	36520(87.6%)	4	2	0.11679394861066263	4067	2
2017-10-04-3315	pfama1.13	49	0.28823525466783123	36520(87.6%)	4	3	0.004953437820487359	189	2
2017-10-04-3364	pfama1.20	28	1.0	8584(99.4%)	1	0	1.0	8584	2
2017-10-04-3510	pfama1.27	15	1.0	58000(73.3%)	1	0	1.0	58000	3
2017-10-09-3001	pfama1.04	80	1.0	85541(91.4%)	1	0	1.0	85541	2
2017-10-09-3162	pfama1.43	2	1.0	9668(86.4%)	1	0	1.0	9668	1
2017-10-09-3163	pfama1.02	124	0.38509337747027667	90862(95.9%)	3	0	0.594411940558806	54012	2
2017-10-09-3163	pfama1.00	148	0.4627324904135877	90862(95.9%)	3	1	0.3484099651590035	31639	2
2017-10-09-3163	pfama1.13	49	0.15217413211613567	90862(95.9%)	3	2	0.057178094282190575	5211	2
2017-10-09-3164	pfama1.00	148	0.7339898604789811	48709(97.5%)	2	0	0.9014287295713812	43966	2
2017-10-09-3164	pfama1.12	54	0.2660101395210189	48709(97.5%)	2	1	0.09857127042861889	4743	2
2017-10-10-3284	pfama1.11	57	0.47899143561901075	38137(81.4%)	2	0	0.7334430000000001	27987	2
2017-10-10-3284	pfama1.10	62	0.5210085643809893	38137(81.4%)	2	1	0.26655700000000004	10150	2
2017-10-10-3285	pfama1.10	62	0.1987181180925696	65343(98.2%)	6	0	0.6397072814712038	41789	2
2017-10-10-3285	pfama1.01	136	0.43589719084479284	65343(98.2%)	6	1	0.2591601140304502	16942	2
2017-10-10-3285	pfama1.42	4	0.012820505613082143	65343(98.2%)	6	2	0.043431719109956406	2840	2
2017-10-10-3285	pfama1.08	64	0.20512837089911068	65343(98.2%)	6	3	0.02825241243106147	1848	2
2017-10-10-3285	pfama1.15	32	0.10256404490465715	65343(98.2%)	6	4	0.02744791207708132	1793	2
2017-10-10-3285	pfama1.32	14	0.0448717696457875	65343(98.2%)	6	5	0.0020005608802467875	131	2
2017-10-10-3523	pfama1.06	67	1.0	53609(95%)	1	0	1.0	53609	2
2017-10-10-3527	pfama1.02	124	1.0	31139(89.7%)	1	0	1.0	31139	1
2017-10-11-3236	pfama1.12	54	1.0	66326(89.6%)	1	0	1.0	66326	2
2017-10-11-3529	pfama1.20	28	1.0	9148(82.7%)	1	0	1.0	9148	1
2017-10-11-3530	pfama1.21	28	1.0	40788(93.8%)	1	0	1.0	40788	2
2017-10-16-3540	pfama1.10	62	1.0	55659(98.8%)	1	0	1.0	55659	2
2017-10-16-3541	pfama1.08	64	1.0	40077(93%)	1	0	1.0	40077	2
2017-10-16-3542	pfama1.01	136	0.334975441816178	64606(93.1%)	6	0	0.7613260761326075	49855	4
2017-10-16-3542	pfama1.10	62	0.15270960860273028	64606(93.1%)	6	1	0.1724510172451017	10305	4
2017-10-16-3542	pfama1.31	14	0.03448276606931244	64606(93.1%)	6	2	0.04742110474211047	3107	4
2017-10-16-3542	pfama1.00	148	0.36699461314110166	64606(93.1%)	6	3	0.00829778082977808	603	4
2017-10-16-3542	pfama1.17	30	0.0738916415770981	64606(93.1%)	6	4	0.006972190697219069	510	4
2017-10-16-3542	pfama1.30	15	0.03694592879357949	64606(93.1%)	6	5	0.003531830353183035	226	4
2017-10-16-3546	pfama1.09	62	1.0	42797(97.3%)	1	0	1.0	42797	2
2017-10-16-3547	pfama1.07	64	1.0	26804(80.6%)	1	0	1.0	26804	2
2017-10-16-3549	pfama1.09	62	1.0	44310(92.4%)	1	0	1.0	44310	2
2017-10-16-3557	pfama1.22	24	1.0	44322(95.7%)	1	0	1.0	44322	2
2017-10-17-3575	pfama1.00	148	0.9933333235888673	12826(84.1%)	2	0	0.8307504569677935	10347	1
2017-10-17-3575	pfama1.50	1	0.0066666764111326625	12826(84.1%)	2	1	0.16924954303220657	2108	1
2017-10-17-3577	pfama1.00	148	1.0	40832(94.1%)	1	0	1.0	40832	2
2017-10-17-3578	pfama1.05	71	0.17233007512931225	34620(78.1%)	9	0	0.3295989670401033	11108	2
2017-10-17-3578	pfama1.40	5	0.012135913288540344	34620(78.1%)	9	1	0.22168597783140223	7657	2
2017-10-17-3578	pfama1.12	54	0.13106786351623573	34620(78.1%)	9	2	0.17257898274210173	6336	2
2017-10-17-3578	pfama1.03	85	0.21116499765264138	34620(78.1%)	9	3	0.06369289363071062	2005	2
2017-10-17-3578	pfama1.33	13	0.03155348098224427	34620(78.1%)	9	4	0.06301809369819063	2253	2
2017-10-17-3578	pfama1.16	31	0.0752427688209895	34620(78.1%)	9	5	0.06140879385912062	2069	2
2017-10-17-3578	pfama1.07	64	0.15533990295739517	34620(78.1%)	9	6	0.053292594670740524	1833	2
