s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-04-3079	pfama1.013	34	1.0	20486(95.8%)	1	0	1.0	20486	2
2017-10-04-3093	pfama1.035	6	1.0	26303(97%)	1	0	1.0	26303	2
2017-10-04-3096	pfama1.026	14	0.11023603166966303	70337(98.5%)	5	0	0.5599816640110015	39339	2
2017-10-04-3096	pfama1.010	37	0.29133838156116276	70337(98.5%)	5	1	0.3219948068031159	22668	2
2017-10-04-3096	pfama1.029	12	0.09448825054250118	70337(98.5%)	5	2	0.05185086888947866	3635	2
2017-10-04-3096	pfama1.012	36	0.28346475162750356	70337(98.5%)	5	3	0.05012306992615803	3540	2
2017-10-04-3096	pfama1.015	28	0.22047258459916944	70337(98.5%)	5	4	0.016049590370245777	1155	2
2017-10-04-3313	pfama1.003	62	1.0	24645(97%)	1	0	1.0	24645	2
2017-10-04-3315	pfama1.022	15	0.15957446059302546	38549(85.6%)	3	0	0.638904361095639	24896	2
2017-10-04-3315	pfama1.010	37	0.3936169088953821	38549(85.6%)	3	1	0.24506775493224506	9385	2
2017-10-04-3315	pfama1.008	42	0.4468086305115924	38549(85.6%)	3	2	0.11602788397211602	4268	2
2017-10-04-3364	pfama1.016	23	1.0	9274(99.1%)	1	0	1.0	9274	2
2017-10-04-3510	pfama1.029	12	1.0	62120(72.5%)	1	0	1.0	62120	3
2017-10-09-3001	pfama1.003	62	1.0	93965(91.4%)	1	0	1.0	93965	2
2017-10-09-3162	pfama1.047	2	1.0	10946(88%)	1	0	1.0	10754	1
2017-10-09-3163	pfama1.002	80	0.37558729220415343	104185(95.6%)	3	0	0.5951482975741488	62030	2
2017-10-09-3163	pfama1.000	104	0.4929571555243928	104185(95.6%)	3	1	0.34814717407358703	36207	2
2017-10-09-3163	pfama1.015	28	0.1314555522714537	104185(95.6%)	3	2	0.05670452835226417	5948	2
2017-10-09-3164	pfama1.000	104	0.7446804015386587	52493(97.4%)	2	0	0.8932640000000001	46953	2
2017-10-09-3164	pfama1.011	36	0.2553195984613413	52493(97.4%)	2	1	0.106736	5540	2
2017-10-10-3284	pfama1.013	34	0.47887333136287225	40673(80.3%)	2	0	0.733024	29830	2
2017-10-10-3284	pfama1.010	37	0.5211266686371278	40673(80.3%)	2	1	0.26697600000000005	10843	2
2017-10-10-3285	pfama1.010	37	0.197860644525442	70394(97.4%)	5	0	0.6418309358169064	45168	2
2017-10-10-3285	pfama1.001	90	0.4812841797013285	70394(97.4%)	5	1	0.2595079740492026	18277	2
2017-10-10-3285	pfama1.041	4	0.02139036865224004	70394(97.4%)	5	2	0.04346519565348043	3062	2
2017-10-10-3285	pfama1.007	42	0.22459869384333486	70394(97.4%)	5	3	0.027629597237040275	1947	2
2017-10-10-3285	pfama1.027	14	0.07486611327765458	70394(97.4%)	5	4	0.027566297243370275	1940	2
2017-10-10-3523	pfama1.005	56	1.0	56906(94.9%)	1	0	1.0	56906	2
2017-10-11-3236	pfama1.011	36	1.0	71121(89.4%)	1	0	1.0	71121	2
2017-10-11-3336	pfama1.070	1	1.0	4(100%)	1	0	1.0	4	1
2017-10-11-3529	pfama1.016	23	1.0	10550(87.2%)	1	0	1.0	9981	1
2017-10-11-3530	pfama1.019	17	1.0	44204(93.8%)	1	0	1.0	44204	2
2017-10-16-3540	pfama1.010	37	1.0	60029(98.3%)	1	0	1.0	60029	2
2017-10-16-3541	pfama1.007	42	1.0	42587(92.7%)	1	0	1.0	42587	2
2017-10-16-3542	pfama1.001	90	0.31358966191172244	48118(97.7%)	5	0	0.7870351810180917	38004	2
2017-10-16-3542	pfama1.010	37	0.12891978427563008	48118(97.7%)	5	1	0.14440403321292763	6804	2
2017-10-16-3542	pfama1.017	22	0.07665499439837226	48118(97.7%)	5	2	0.05067191165453968	2397	2
