s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-04-3079	pfama1.011	53	1.0	20483(95.8%)	1	0	1.0	20483	2
2017-10-04-3093	pfama1.035	8	1.0	26293(97%)	1	0	1.0	26293	2
2017-10-04-3096	pfama1.018	27	0.12980783859792744	70307(98.5%)	5	0	0.5599378880124224	39319	2
2017-10-04-3096	pfama1.009	58	0.2788459895201363	70307(98.5%)	5	1	0.3220169355966128	22660	2
2017-10-04-3096	pfama1.026	15	0.07211523431719781	70307(98.5%)	5	2	0.051859389628122074	3634	2
2017-10-04-3096	pfama1.007	61	0.2932694532105472	70307(98.5%)	5	3	0.050129089974182	3539	2
2017-10-04-3096	pfama1.013	47	0.22596148435419122	70307(98.5%)	5	4	0.01605669678866064	1155	2
2017-10-04-3313	pfama1.003	80	1.0	24642(97%)	1	0	1.0	24642	2
2017-10-04-3315	pfama1.024	18	0.15652150312271	38510(85.5%)	3	0	0.6389220000000001	24872	2
2017-10-04-3315	pfama1.009	58	0.5043478195311863	38510(85.5%)	3	1	0.245222	9381	2
2017-10-04-3315	pfama1.014	39	0.3391306773461036	38510(85.5%)	3	2	0.11585600000000001	4257	2
2017-10-04-3364	pfama1.020	26	1.0	9272(99.2%)	1	0	1.0	9272	2
2017-10-04-3510	pfama1.026	15	1.0	61881(72.5%)	1	0	1.0	61881	3
2017-10-09-3001	pfama1.003	80	1.0	93965(91.5%)	1	0	1.0	93965	2
2017-10-09-3162	pfama1.050	2	1.0	10809(87.8%)	1	0	1.0	10682	1
2017-10-09-3163	pfama1.002	113	0.3741715038373436	104218(95.7%)	3	0	0.5948431784529535	62015	2
2017-10-09-3163	pfama1.000	141	0.4701991146822137	104218(95.7%)	3	1	0.34848810454643137	36257	2
2017-10-09-3163	pfama1.013	47	0.15562938148044267	104218(95.7%)	3	2	0.0566687170006151	5946	2
2017-10-09-3164	pfama1.000	141	0.7319586753479957	52464(97.4%)	2	0	0.893342	46931	2
2017-10-09-3164	pfama1.012	52	0.26804132465200425	52464(97.4%)	2	1	0.10665799999999999	5533	2
2017-10-10-3284	pfama1.011	53	0.4774775126613323	40654(80.3%)	2	0	0.732973	29814	2
2017-10-10-3284	pfama1.009	58	0.5225224873386676	40654(80.3%)	2	1	0.267027	10840	2
2017-10-10-3285	pfama1.009	58	0.21167867298125312	70370(97.4%)	5	0	0.6418808074357578	45156	2
2017-10-10-3285	pfama1.001	129	0.4708031276928616	70370(97.4%)	5	1	0.2594529221641234	18267	2
2017-10-10-3285	pfama1.043	4	0.014598538991155683	70370(97.4%)	5	2	0.043465886960233915	3061	2
2017-10-10-3285	pfama1.010	56	0.2043794193068424	70370(97.4%)	5	3	0.027624591712622486	1946	2
2017-10-10-3285	pfama1.019	27	0.09854024102788732	70370(97.4%)	5	4	0.02757579172726248	1940	2
2017-10-10-3523	pfama1.005	63	1.0	56889(94.9%)	1	0	1.0	56889	2
2017-10-11-3236	pfama1.012	52	1.0	71150(89.5%)	1	0	1.0	71150	2
2017-10-11-3529	pfama1.020	26	1.0	10496(87.5%)	1	0	1.0	9928	1
2017-10-11-3530	pfama1.021	25	1.0	44017(93.6%)	1	0	1.0	44017	2
2017-10-16-3540	pfama1.009	58	1.0	60067(98.4%)	1	0	1.0	60067	2
2017-10-16-3541	pfama1.010	56	1.0	42605(92.8%)	1	0	1.0	42605	2
2017-10-16-3542	pfama1.001	129	0.34770917959338393	48073(97.6%)	5	0	0.7870103935051967	37965	2
2017-10-16-3542	pfama1.009	58	0.1563341732252551	48073(97.6%)	5	1	0.1444480722240361	6801	2
2017-10-16-3542	pfama1.032	11	0.029649540256155352	48073(97.6%)	5	2	0.05066792533396267	2395	2
2017-10-16-3542	pfama1.000	141	0.3827490779650592	48073(97.6%)	5	3	0.009646654823327412	494	2
2017-10-16-3542	pfama1.015	31	0.08355802896014651	48073(97.6%)	5	4	0.008226954113477057	418	2
2017-10-16-3546	pfama1.008	60	1.0	45775(96.7%)	1	0	1.0	45775	2
2017-10-16-3547	pfama1.006	63	1.0	28910(80.4%)	1	0	1.0	28716	2
2017-10-16-3549	pfama1.008	60	1.0	46573(91.9%)	1	0	1.0	46573	2
2017-10-16-3557	pfama1.022	23	1.0	47785(95.5%)	1	0	1.0	47785	2
2017-10-17-3575	pfama1.000	141	0.9930070014866337	14135(85.5%)	2	0	0.8350198277040886	11221	1
2017-10-17-3575	pfama1.084	1	0.006992998513366366	14135(85.5%)	2	1	0.1649801722959114	2217	1
2017-10-17-3577	pfama1.000	141	1.0	43708(94.3%)	1	0	1.0	43708	2
2017-10-17-3578	pfama1.007	61	0.1568124320928971	36832(77.2%)	9	0	0.33108196689180336	11865	2
2017-10-17-3578	pfama1.040	5	0.012853463790749805	36832(77.2%)	9	1	0.2181529781847022	8023	2
2017-10-17-3578	pfama1.012	52	0.1336760145086313	36832(77.2%)	9	2	0.17310398268960173	6756	2
2017-10-17-3578	pfama1.004	80	0.21079688640479655	36832(77.2%)	9	3	0.06397109360289063	2143	2
2017-10-17-3578	pfama1.029	14	0.035989636207932975	36832(77.2%)	9	4	0.06350279364972063	2419	2
2017-10-17-3578	pfama1.016	31	0.07969156019673188	36832(77.2%)	9	5	0.061362793863720615	2197	2
2017-10-17-3578	pfama1.006	63	0.16195380869403034	36832(77.2%)	9	6	0.05374609462539053	1970	2
2017-10-17-3578	pfama1.011	53	0.13624670280919796	36832(77.2%)	9	7	0.024826497517350245	1051	2
2017-10-17-3578	pfama1.017	28	0.07197949529503193	36832(77.2%)	9	8	0.0102517989748201	408	2
2017-10-17-3579	pfama1.033	9	1.0	78871(89.9%)	1	0	1.0	78871	2
2017-10-17-3580	pfama1.009	58	0.4793385291236779	54317(94.3%)	2	0	0.9866119013388098	53566	2
2017-10-17-3580	pfama1.006	63	0.520661470876322	54317(94.3%)	2	1	0.013388098661190133	751	2
2017-10-17-3595	pfama1.002	113	1.0	11642(81.7%)	1	0	1.0	10236	1
2017-10-17-3602	pfama1.021	25	0.07374641755033332	57558(97.4%)	5	0	0.8216815751771027	46661	2
2017-10-17-3602	pfama1.004	80	0.24188792220221103	57558(97.4%)	5	1	0.10772107540475279	6874	2
2017-10-17-3602	pfama1.019	27	0.07964611049417986	57558(97.4%)	5	2	0.03051892136324496	1839	2
2017-10-17-3602	pfama1.000	141	0.4188787105176067	57558(97.4%)	5	3	0.026808418765893138	1520	2
2017-10-17-3602	pfama1.006	63	0.18584083923566902	57558(97.4%)	5	4	0.013270009289006502	664	2
2017-10-17-3604	pfama1.015	31	0.17318433860055646	41535(67.5%)	4	0	0.338068	23452	2
2017-10-17-3604	pfama1.006	63	0.3519552531444469	41535(67.5%)	4	1	0.320734	9344	2
2017-10-17-3604	pfama1.021	25	0.13966488294055193	41535(67.5%)	4	2	0.23505700000000002	6840	2
