s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-04-3079	pfama1.014	39	1	20486(95.8%)	1	0	1	20486	2
2017-10-04-3093	pfama1.036	7	1	26303(97%)	1	0	1	26303	2
2017-10-04-3096	pfama1.020	22	0.1271675421163453	70337(98.5%)	5	0	0.5599816640110015	39339	2
2017-10-04-3096	pfama1.011	49	0.28323709472417685	70337(98.5%)	5	1	0.3219948068031159	22668	2
2017-10-04-3096	pfama1.029	12	0.06936395581543747	70337(98.5%)	5	2	0.05185086888947866	3635	2
2017-10-04-3096	pfama1.010	50	0.2890174968224741	70337(98.5%)	5	3	0.05012306992615803	3540	2
2017-10-04-3096	pfama1.013	40	0.2312139105215663	70337(98.5%)	5	4	0.016049590370245777	1155	2
2017-10-04-3315	pfama1.024	18	0.15126067413316213	38549(85.6%)	3	0	0.638904361095639	24896	2
2017-10-04-3315	pfama1.011	49	0.4117648173998877	38549(85.6%)	3	1	0.24506775493224506	9385	2
2017-10-04-3315	pfama1.007	52	0.4369745084669502	38549(85.6%)	3	2	0.11602788397211602	4268	2
2017-10-04-3364	pfama1.018	23	1	9274(99.1%)	1	0	1	9274	2
2017-10-04-3510	pfama1.029	12	1	62120(72.5%)	1	0	1	62120	3
2017-10-09-3001	pfama1.003	69	1	93965(91.4%)	1	0	1	93965	2
2017-10-09-3162	pfama1.048	2	1	10946(88%)	1	0	1	10754	1
2017-10-09-3163	pfama1.002	93	0.3604651332251967	104185(95.6%)	3	0	0.5951482975741488	62030	2
2017-10-09-3163	pfama1.000	124	0.4844958020545959	104185(95.6%)	3	1	0.34814717407358703	36207	2
2017-10-09-3163	pfama1.013	40	0.1550390647202074	104185(95.6%)	3	2	0.05670452835226417	5948	2
2017-10-09-3164	pfama1.000	124	0.7309937148516314	52493(97.4%)	2	0	0.8932640000000001	46953	2
2017-10-09-3164	pfama1.012	46	0.26900628514836855	52493(97.4%)	2	1	0.106736	5540	2
2017-10-10-3284	pfama1.014	39	0.4431817113636577	40673(80.3%)	2	0	0.733024	29830	2
2017-10-10-3284	pfama1.011	49	0.5568182886363423	40673(80.3%)	2	1	0.26697600000000005	10843	2
2017-10-10-3285	pfama1.011	49	0.21397397192280407	70394(97.4%)	5	0	0.6418309358169064	45168	2
2017-10-10-3285	pfama1.001	107	0.46724833398271354	70394(97.4%)	5	1	0.2595079740492026	18277	2
2017-10-10-3285	pfama1.042	4	0.01746725966324507	70394(97.4%)	5	2	0.04346519565348043	3062	2
2017-10-10-3285	pfama1.009	50	0.2183408278866673	70394(97.4%)	5	3	0.027629597237040275	1947	2
2017-10-10-3285	pfama1.023	19	0.08296960654457007	70394(97.4%)	5	4	0.027566297243370275	1940	2
2017-10-10-3523	pfama1.005	67	1	56906(94.9%)	1	0	1	56906	2
2017-10-11-3236	pfama1.012	46	1	71121(89.4%)	1	0	1	71121	2
2017-10-11-3530	pfama1.021	22	1	44204(93.8%)	1	0	1	44204	2
2017-10-16-3540	pfama1.011	49	1	60029(98.3%)	1	0	1	60029	2
2017-10-16-3541	pfama1.009	50	1	42587(92.7%)	1	0	1	42587	2
2017-10-16-3542	pfama1.001	107	0.31014482013008526	48118(97.7%)	5	0	0.7870351810180917	38004	2
2017-10-16-3542	pfama1.011	49	0.1420292255915741	48118(97.7%)	5	1	0.14440403321292763	6804	2
2017-10-16-3542	pfama1.016	27	0.07826106858248906	48118(97.7%)	5	2	0.05067191165453968	2397	2
2017-10-16-3546	pfama1.008	50	1	45837(96.7%)	1	0	1	45837	2
2017-10-16-3547	pfama1.006	56	1	29111(80.2%)	1	0	1	28914	2
2017-10-16-3549	pfama1.008	50	1	46591(91.9%)	1	0	1	46591	2
2017-10-16-3557	pfama1.022	21	1	47808(95.5%)	1	0	1	47808	2
2017-10-17-3575	pfama1.000	124	0.9920634565380857	14129(84.8%)	2	0	0.8351083588073428	11213	1
2017-10-17-3575	pfama1.078	1	0.007936543461914301	14129(84.8%)	2	1	0.16489164119265717	2214	1
2017-10-17-3577	pfama1.000	124	1	43734(94.3%)	1	0	1	43734	2
2017-10-17-3578	pfama1.010	50	0.1538462108023551	36851(77.2%)	9	0	0.3311790662358132	11874	2
2017-10-17-3578	pfama1.041	5	0.015384621080235514	36851(77.2%)	9	1	0.21814404362880874	8027	2
2017-10-17-3578	pfama1.012	46	0.1415384028735742	36851(77.2%)	9	2	0.17312503462500692	6761	2
2017-10-17-3578	pfama1.004	69	0.21846150827475172	36851(77.2%)	9	3	0.06387721277544255	2140	2
2017-10-17-3578	pfama1.031	11	0.03384624041957982	36851(77.2%)	9	4	0.06349071269814253	2420	2
2017-10-17-3578	pfama1.019	23	0.0707692014367871	36851(77.2%)	9	5	0.061362012272402455	2198	2
2017-10-17-3578	pfama1.006	56	0.1723076913109588	36851(77.2%)	9	6	0.05371541074308214	1970	2
2017-10-17-3578	pfama1.014	39	0.11999997038277531	36851(77.2%)	9	7	0.024859804971960994	1053	2
2017-10-17-3578	pfama1.017	24	0.07384615341898235	36851(77.2%)	9	8	0.01024670204934041	408	2
2017-10-17-3579	pfama1.034	9	1	78912(89.9%)	1	0	1	78912	2
