s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-04-3079	pfama1.013	29	1.0	20486(95.8%)	1	0	1.0	20486	2
2017-10-04-3093	pfama1.035	6	1.0	26303(97%)	1	0	1.0	26303	2
2017-10-04-3096	pfama1.030	9	0.08411203025591175	70337(98.5%)	5	0	0.5599816640110015	39339	2
2017-10-04-3096	pfama1.010	34	0.3177572677788578	70337(98.5%)	5	1	0.3219948068031159	22668	2
2017-10-04-3096	pfama1.024	12	0.112149373674549	70337(98.5%)	5	2	0.05185086888947866	3635	2
2017-10-04-3096	pfama1.012	30	0.28037396596209924	70337(98.5%)	5	3	0.05012306992615803	3540	2
2017-10-04-3096	pfama1.015	22	0.20560736232858212	70337(98.5%)	5	4	0.016049590370245777	1155	2
2017-10-04-3313	pfama1.003	52	1.0	24645(97%)	1	0	1.0	24645	2
2017-10-04-3315	pfama1.021	14	0.16470596110720623	38549(85.6%)	3	0	0.638904361095639	24896	2
2017-10-04-3315	pfama1.010	34	0.39999999999999997	38549(85.6%)	3	1	0.24506775493224506	9385	2
2017-10-04-3315	pfama1.007	37	0.4352940388927938	38549(85.6%)	3	2	0.11602788397211602	4268	2
2017-10-04-3364	pfama1.017	20	1.0	9274(99.1%)	1	0	1.0	9274	2
2017-10-04-3510	pfama1.024	12	1.0	62120(72.5%)	1	0	1.0	62120	3
2017-10-09-3001	pfama1.003	52	1.0	93965(91.4%)	1	0	1.0	93965	2
2017-10-09-3162	pfama1.047	2	1.0	10946(88%)	1	0	1.0	10754	1
2017-10-09-3163	pfama1.002	70	0.3846159858412746	104185(95.6%)	3	0	0.5951482975741488	62030	2
2017-10-09-3163	pfama1.000	89	0.4945049276353697	104185(95.6%)	3	1	0.34814717407358703	36207	2
2017-10-09-3163	pfama1.015	22	0.12087908652335574	104185(95.6%)	3	2	0.05670452835226417	5948	2
2017-10-09-3164	pfama1.000	89	0.7563022799234574	52493(97.4%)	2	0	0.8932640000000001	46953	2
2017-10-09-3164	pfama1.014	29	0.24369772007654253	52493(97.4%)	2	1	0.106736	5540	2
2017-10-10-3284	pfama1.013	29	0.4603172309398612	40673(80.3%)	2	0	0.733024	29830	2
2017-10-10-3284	pfama1.010	34	0.5396827690601387	40673(80.3%)	2	1	0.26697600000000005	10843	2
