s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-04-3079	pfama1.013	29	0.0509666	20486(95.8%)	1	0	1	20486	2
2017-10-04-3093	pfama1.035	6	0.0105448	26303(97%)	1	0	1	26303	2
2017-10-04-3096	pfama1.030	9	0.0158172	70337(98.5%)	5	0	0.559982	39339	2
2017-10-04-3096	pfama1.010	34	0.059754	70337(98.5%)	5	1	0.321995	22668	2
2017-10-04-3096	pfama1.024	12	0.0210896	70337(98.5%)	5	2	0.0518509	3635	2
2017-10-04-3096	pfama1.012	30	0.0527241	70337(98.5%)	5	3	0.0501231	3540	2
2017-10-04-3096	pfama1.015	22	0.0386643	70337(98.5%)	5	4	0.0160496	1155	2
2017-10-04-3313	pfama1.003	55	0.0966608	24645(97%)	1	0	1	24645	2
2017-10-04-3315	pfama1.021	14	0.0246046	38549(85.6%)	3	0	0.638905	24896	2
2017-10-04-3315	pfama1.010	34	0.059754	38549(85.6%)	3	1	0.245068	9385	2
2017-10-04-3315	pfama1.007	37	0.0650264	38549(85.6%)	3	2	0.116028	4268	2
2017-10-04-3364	pfama1.017	20	0.0351494	9274(99.1%)	1	0	1	9274	2
2017-10-04-3510	pfama1.024	12	0.0210896	62120(72.5%)	1	0	1	62120	3
2017-10-09-3001	pfama1.003	55	0.0966608	93965(91.4%)	1	0	1	93965	2
2017-10-09-3162	pfama1.047	2	0.00351494	10946(88%)	4	0	0.982459	10754	1
2017-10-09-3162	pfama1.235	1	0.00175747	10946(88%)	4	1	0.00584688	64	1
2017-10-09-3162	pfama1.234	1	0.00175747	10946(88%)	4	2	0.00584688	64	1
2017-10-09-3162	pfama1.233	1	0.00175747	10946(88%)	4	3	0.00584688	64	1
2017-10-09-3163	pfama1.002	70	0.123023	104185(95.6%)	3	0	0.595148	62030	2
2017-10-09-3163	pfama1.000	90	0.158172	104185(95.6%)	3	1	0.348147	36207	2
2017-10-09-3163	pfama1.015	22	0.0386643	104185(95.6%)	3	2	0.0567045	5948	2
2017-10-09-3164	pfama1.000	90	0.158172	52493(97.4%)	2	0	0.893264	46953	2
2017-10-09-3164	pfama1.014	29	0.0509666	52493(97.4%)	2	1	0.106736	5540	2
2017-10-10-3284	pfama1.013	29	0.0509666	40673(80.3%)	2	0	0.733024	29830	2
2017-10-10-3284	pfama1.010	34	0.059754	40673(80.3%)	2	1	0.266976	10843	2
2017-10-10-3285	pfama1.010	34	0.059754	70394(97.4%)	5	0	0.641831	45168	2
2017-10-10-3285	pfama1.001	72	0.126538	70394(97.4%)	5	1	0.259508	18277	2
2017-10-10-3285	pfama1.040	4	0.00702988	70394(97.4%)	5	2	0.0434652	3062	2
2017-10-10-3285	pfama1.008	36	0.0632689	70394(97.4%)	5	3	0.0276296	1947	2
2017-10-10-3285	pfama1.028	10	0.0175747	70394(97.4%)	5	4	0.0275663	1940	2
2017-10-10-3523	pfama1.004	53	0.0931459	56906(94.9%)	1	0	1	56906	2
2017-10-11-3236	pfama1.014	29	0.0509666	71121(89.4%)	1	0	1	71121	2
2017-10-11-3336	pfama1.063	1	0.00175747	4(100%)	1	0	1	4	1
2017-10-11-3529	pfama1.017	20	0.0351494	10550(87.2%)	6	0	0.946066	9981	1
2017-10-11-3529	pfama1.093	1	0.00175747	10550(87.2%)	6	1	0.0272986	288	1
2017-10-11-3529	pfama1.180	1	0.00175747	10550(87.2%)	6	2	0.00739336	78	1
2017-10-11-3529	pfama1.185	1	0.00175747	10550(87.2%)	6	3	0.00729858	77	1
2017-10-11-3529	pfama1.221	1	0.00175747	10550(87.2%)	6	4	0.00616114	65	1
2017-10-11-3529	pfama1.237	1	0.00175747	10550(87.2%)	6	5	0.00578199	61	1
2017-10-11-3530	pfama1.019	15	0.026362	44204(93.8%)	1	0	1	44204	2
2017-10-16-3540	pfama1.010	34	0.059754	60029(98.3%)	1	0	1	60029	2
2017-10-16-3541	pfama1.008	36	0.0632689	42587(92.7%)	1	0	1	42587	2
2017-10-16-3542	pfama1.001	72	0.126538	48118(97.7%)	5	0	0.787035	38004	2
2017-10-16-3542	pfama1.010	34	0.059754	48118(97.7%)	5	1	0.144404	6804	2
2017-10-16-3542	pfama1.016	22	0.0386643	48118(97.7%)	5	2	0.0506719	2397	2
2017-10-16-3542	pfama1.000	90	0.158172	48118(97.7%)	5	3	0.00966929	495	2
2017-10-16-3542	pfama1.011	30	0.0527241	48118(97.7%)	5	4	0.00821958	418	2
2017-10-16-3546	pfama1.009	35	0.0615114	45837(96.7%)	1	0	1	45837	2
2017-10-16-3547	pfama1.006	38	0.0667838	29111(80.2%)	2	0	0.993123	28914	2
2017-10-16-3547	pfama1.056	2	0.00351494	29111(80.2%)	2	1	0.00687711	197	2
2017-10-16-3549	pfama1.009	35	0.0615114	46591(91.9%)	1	0	1	46591	2
2017-10-16-3557	pfama1.022	13	0.0228471	47808(95.5%)	1	0	1	47808	2
2017-10-17-3575	pfama1.000	90	0.158172	14129(84.8%)	5	0	0.793616	11213	1
2017-10-17-3575	pfama1.068	1	0.00175747	14129(84.8%)	5	1	0.156699	2214	1
2017-10-17-3575	pfama1.091	1	0.00175747	14129(84.8%)	5	2	0.0285229	403	1
2017-10-17-3575	pfama1.113	1	0.00175747	14129(84.8%)	5	3	0.0144384	204	1
2017-10-17-3575	pfama1.205	1	0.00175747	14129(84.8%)	5	4	0.00672376	95	1
2017-10-17-3577	pfama1.000	90	0.158172	43734(94.3%)	1	0	1	43734	2
2017-10-17-3578	pfama1.012	30	0.0527241	36851(77.2%)	9	0	0.331179	11874	2
2017-10-17-3578	pfama1.039	4	0.00702988	36851(77.2%)	9	1	0.218144	8027	2
2017-10-17-3578	pfama1.014	29	0.0509666	36851(77.2%)	9	2	0.173125	6761	2
2017-10-17-3578	pfama1.005	49	0.086116	36851(77.2%)	9	3	0.0638772	2140	2
2017-10-17-3578	pfama1.038	5	0.00878735	36851(77.2%)	9	4	0.0634907	2420	2
2017-10-17-3578	pfama1.023	13	0.0228471	36851(77.2%)	9	5	0.061362	2198	2
2017-10-17-3578	pfama1.006	38	0.0667838	36851(77.2%)	9	6	0.0537154	1970	2
2017-10-17-3578	pfama1.013	29	0.0509666	36851(77.2%)	9	7	0.0248598	1053	2
2017-10-17-3578	pfama1.018	16	0.0281195	36851(77.2%)	9	8	0.0102467	408	2
2017-10-17-3579	pfama1.029	9	0.0158172	78912(89.9%)	1	0	1	78912	2
2017-10-17-3580	pfama1.010	34	0.059754	54369(94.3%)	2	0	0.986624	53618	2
2017-10-17-3580	pfama1.006	38	0.0667838	54369(94.3%)	2	1	0.0133756	751	2
2017-10-17-3595	pfama1.002	70	0.123023	11716(81.5%)	5	0	0.879822	10308	1
2017-10-17-3595	pfama1.072	1	0.00175747	11716(81.5%)	5	1	0.0770741	903	1
2017-10-17-3595	pfama1.095	1	0.00175747	11716(81.5%)	5	2	0.0235575	276	1
2017-10-17-3595	pfama1.041	4	0.00702988	11716(81.5%)	5	3	0.0116081	136	1
2017-10-17-3595	pfama1.052	2	0.00351494	11716(81.5%)	5	4	0.00793786	93	1
2017-10-17-3602	pfama1.019	15	0.026362	57590(97.4%)	5	0	0.821511	46680	2
2017-10-17-3602	pfama1.005	49	0.086116	57590(97.4%)	5	1	0.107886	6883	2
2017-10-17-3602	pfama1.028	10	0.0175747	57590(97.4%)	5	2	0.0305353	1842	2
2017-10-17-3602	pfama1.000	90	0.158172	57590(97.4%)	5	3	0.0268049	1521	2
2017-10-17-3602	pfama1.006	38	0.0667838	57590(97.4%)	5	4	0.013263	664	2
2017-10-17-3604	pfama1.011	30	0.0527241	41548(67.5%)	4	0	0.3381	23462	2
2017-10-17-3604	pfama1.006	38	0.0667838	41548(67.5%)	4	1	0.320759	9349	2
2017-10-17-3604	pfama1.019	15	0.026362	41548(67.5%)	4	2	0.235079	6844	2
2017-10-17-3604	pfama1.009	35	0.0615114	41548(67.5%)	4	3	0.106062	1893	2
2017-10-17-3612	pfama1.012	30	0.0527241	145498(95.7%)	4	0	0.943133	137167	2
2017-10-17-3612	pfama1.002	70	0.123023	145498(95.7%)	4	1	0.0263349	3879	2
2017-10-17-3612	pfama1.000	90	0.158172	145498(95.7%)	4	2	0.0240086	3508	2
2017-10-17-3612	pfama1.005	49	0.086116	145498(95.7%)	4	3	0.00652378	944	2
2017-10-17-3614	pfama1.002	70	0.123023	39558(86.4%)	2	0	0.959089	37963	2
2017-10-17-3614	pfama1.039	4	0.00702988	39558(86.4%)	2	1	0.0409115	1595	2
2017-10-17-3615	pfama1.005	49	0.086116	52094(96%)	1	0	1	52094	2
2017-10-17-3616	pfama1.002	70	0.123023	45899(95.5%)	1	0	1	45899	2
2017-10-17-3617	pfama1.006	38	0.0667838	59227(95.4%)	1	0	1	59227	2
2017-10-18-3627	pfama1.010	34	0.059754	10977(83.4%)	5	0	0.967113	10616	1
2017-10-18-3627	pfama1.116	1	0.00175747	10977(83.4%)	5	1	0.0133005	146	1
2017-10-18-3627	pfama1.200	1	0.00175747	10977(83.4%)	5	2	0.00683247	75	1
2017-10-18-3627	pfama1.201	1	0.00175747	10977(83.4%)	5	3	0.00683247	75	1
2017-10-18-3627	pfama1.230	1	0.00175747	10977(83.4%)	5	4	0.00592147	65	1
2017-10-18-3630	pfama1.007	37	0.0650264	54680(96.3%)	1	0	1	54680	2
2017-10-18-3642	pfama1.002	70	0.123023	70052(92.2%)	1	0	1	70052	3
2017-10-23-3122	pfama1.001	72	0.126538	26834(84%)	1	0	1	26834	2
2017-10-23-3154	pfama1.000	90	0.158172	124119(98.4%)	1	0	1	124119	2
2017-10-23-3190	pfama1.001	72	0.126538	44041(93.1%)	1	0	1	44041	2
2017-10-23-3202	pfama1.025	12	0.0210896	35434(81.4%)	3	0	0.570189	20323	2
2017-10-23-3202	pfama1.027	11	0.0193322	35434(81.4%)	3	1	0.310949	10978	2
2017-10-23-3202	pfama1.030	9	0.0158172	35434(81.4%)	3	2	0.118863	4133	2
2017-10-23-3205	pfama1.027	11	0.0193322	54222(92.2%)	2	0	0.767131	41506	2
2017-10-23-3205	pfama1.025	12	0.0210896	54222(92.2%)	2	1	0.232869	12716	2
2017-10-23-3649	pfama1.000	90	0.158172	350(84.7%)	1	0	1	350	2
2017-10-23-3659	pfama1.016	22	0.0386643	63168(75.6%)	2	0	0.533602	34062	2
2017-10-23-3659	pfama1.013	29	0.0509666	63168(75.6%)	2	1	0.466398	29106	2
2017-10-23-3665	pfama1.002	70	0.123023	71529(94.1%)	1	0	1	71529	2
2017-10-24-3672	pfama1.026	12	0.0210896	11(100%)	1	0	1	11	1
2017-10-24-3673	pfama1.009	35	0.0615114	34716(75.1%)	2	0	0.687166	23422	2
2017-10-24-3673	pfama1.005	49	0.086116	34716(75.1%)	2	1	0.312834	11294	2
2017-10-24-3677	pfama1.002	70	0.123023	36293(85%)	3	0	0.621633	22562	2
2017-10-24-3677	pfama1.021	14	0.0246046	36293(85%)	3	1	0.254805	9247	2
2017-10-24-3677	pfama1.011	30	0.0527241	36293(85%)	3	2	0.123562	4484	2
2017-10-24-3684	pfama1.011	30	0.0527241	25054(89.2%)	1	0	1	25054	3
2017-10-24-3685	pfama1.023	13	0.0228471	2782(97%)	2	0	0.891935	2477	2
2017-10-24-3685	pfama1.031	9	0.0158172	2782(97%)	2	1	0.108065	305	2
2017-10-25-3708	pfama1.005	49	0.086116	125585(98.4%)	1	0	1	125585	2
2017-10-25-3709	pfama1.015	22	0.0386643	20229(98.9%)	1	0	1	20229	2
2017-10-25-3713	pfama1.018	16	0.0281195	25537(94.7%)	1	0	1	25537	4
2017-10-25-3714	pfama1.004	53	0.0931459	30255(97.7%)	2	0	0.989931	29927	2
2017-10-25-3714	pfama1.008	36	0.0632689	30255(97.7%)	2	1	0.0100686	328	2
2017-10-25-3718	pfama1.012	30	0.0527241	92908(91.5%)	1	0	1	92908	2
2017-10-25-3719	pfama1.005	49	0.086116	89326(98%)	2	0	0.859664	77938	2
2017-10-25-3719	pfama1.017	20	0.0351494	89326(98%)	2	1	0.140336	11388	2
2017-10-25-3720	pfama1.010	34	0.059754	112486(97.9%)	3	0	0.45944	51605	2
2017-10-25-3720	pfama1.017	20	0.0351494	112486(97.9%)	3	1	0.457589	51512	2
2017-10-25-3720	pfama1.001	72	0.126538	112486(97.9%)	3	2	0.0829709	9369	2
2017-10-25-3728	pfama1.004	53	0.0931459	50928(89.9%)	1	0	1	50928	4
2017-10-30-3746	pfama1.012	30	0.0527241	70041(89.5%)	2	0	0.826212	57854	2
2017-10-30-3746	pfama1.002	70	0.123023	70041(89.5%)	2	1	0.173788	12187	2
2017-10-30-3747	pfama1.001	72	0.126538	51636(90.7%)	1	0	1	51636	2
2017-10-30-3761	pfama1.006	38	0.0667838	193315(98.7%)	1	0	1	193315	2
2017-10-30-3762	pfama1.007	37	0.0650264	15123(81.7%)	7	0	0.940819	14228	1
2017-10-30-3762	pfama1.102	1	0.00175747	15123(81.7%)	7	1	0.0199696	302	1
2017-10-30-3762	pfama1.161	1	0.00175747	15123(81.7%)	7	2	0.00826556	125	1
2017-10-30-3762	pfama1.165	1	0.00175747	15123(81.7%)	7	3	0.00800106	121	1
2017-10-30-3762	pfama1.171	1	0.00175747	15123(81.7%)	7	4	0.00773656	117	1
2017-10-30-3762	pfama1.172	1	0.00175747	15123(81.7%)	7	5	0.00767044	116	1
2017-10-30-3762	pfama1.175	1	0.00175747	15123(81.7%)	7	6	0.00753819	114	1
2017-10-30-3766	pfama1.003	55	0.0966608	39266(94.7%)	1	0	1	39266	2
2017-10-30-3773	pfama1.003	55	0.0966608	146600(81.7%)	2	0	0.723303	106351	2
2017-10-30-3773	pfama1.007	37	0.0650264	146600(81.7%)	2	1	0.276697	40249	2
2017-10-30-3777	pfama1.006	38	0.0667838	39214(85%)	1	0	1	39214	2
2017-10-31-3785	pfama1.033	7	0.0123023	79561(89.7%)	1	0	1	79561	2
2017-10-31-3786	pfama1.003	55	0.0966608	29499(98.3%)	5	0	0.683628	20173	2
2017-10-31-3786	pfama1.001	72	0.126538	29499(98.3%)	5	1	0.169673	4991	2
2017-10-31-3786	pfama1.007	37	0.0650264	29499(98.3%)	5	2	0.0785999	2317	2
2017-10-31-3786	pfama1.004	53	0.0931459	29499(98.3%)	5	3	0.043571	1295	2
2017-10-31-3786	pfama1.005	49	0.086116	29499(98.3%)	5	4	0.0245278	723	2
2017-10-31-3787	pfama1.003	55	0.0966608	75820(89.4%)	1	0	1	75820	2
2017-10-31-3805	pfama1.001	72	0.126538	37907(96.7%)	1	0	1	37907	2
2017-10-31-3816	pfama1.000	90	0.158172	13100(98%)	1	0	1	13100	2
2017-10-31-3818	pfama1.009	35	0.0615114	45025(98.6%)	1	0	1	45025	2
2017-11-01-3079	pfama1.013	29	0.0509666	59388(96.3%)	1	0	1	59388	2
2017-11-01-3093	pfama1.035	6	0.0105448	61649(86.5%)	1	0	1	61649	3
2017-11-01-3096	pfama1.010	34	0.059754	9069(98.8%)	5	0	0.508215	4609	1
2017-11-01-3096	pfama1.030	9	0.0158172	9069(98.8%)	5	1	0.413607	3751	1
2017-11-01-3096	pfama1.015	22	0.0386643	9069(98.8%)	5	2	0.0309847	281	1
2017-11-01-3096	pfama1.012	30	0.0527241	9069(98.8%)	5	3	0.0292204	265	1
2017-11-01-3096	pfama1.014	29	0.0509666	9069(98.8%)	5	4	0.0179733	163	1
2017-11-01-3313	pfama1.003	55	0.0966608	10334(93.8%)	1	0	1	10334	2
2017-11-01-3364	pfama1.017	20	0.0351494	73308(93.6%)	1	0	1	73308	2
2017-11-01-3505	pfama1.032	7	0.0123023	5757(87.4%)	1	0	1	5757	4
2017-11-01-3510	pfama1.024	12	0.0210896	33953(88.7%)	1	0	1	33953	2
2017-11-01-3773	pfama1.007	37	0.0650264	128842(80.3%)	2	0	0.504687	65042	2
2017-11-01-3773	pfama1.003	55	0.0966608	128842(80.3%)	2	1	0.495313	63800	2
2017-11-06-3001	pfama1.003	55	0.0966608	18724(84.8%)	1	0	1	18724	2
2017-11-06-3055	pfama1.003	55	0.0966608	29(85.3%)	1	0	1	29	1
2017-11-06-3162	pfama1.047	2	0.00351494	15071(86.2%)	1	0	1	15071	2
2017-11-06-3163	pfama1.002	70	0.123023	77350(98.3%)	1	0	1	77350	2
2017-11-06-3164	pfama1.014	29	0.0509666	83274(99.4%)	2	0	0.951412	78996	2
2017-11-06-3164	pfama1.000	90	0.158172	83274(99.4%)	2	1	0.0485877	4278	2
2017-11-07-3284	pfama1.010	34	0.059754	35375(97%)	2	0	0.932424	32305	2
2017-11-07-3284	pfama1.028	10	0.0175747	35375(97%)	2	1	0.0675764	3070	2
2017-11-07-3285	pfama1.008	36	0.0632689	29(96.7%)	2	0	0.62069	18	1
2017-11-07-3285	pfama1.010	34	0.059754	29(96.7%)	2	1	0.37931	11	1
2017-11-07-3523	pfama1.004	53	0.0931459	30387(97.3%)	1	0	1	30387	2
2017-11-07-3527	pfama1.002	70	0.123023	657(83.7%)	1	0	1	657	4
2017-11-08-3336	pfama1.005	49	0.086116	18775(96%)	1	0	1	18775	4
2017-11-08-3529	pfama1.017	20	0.0351494	355(81.6%)	1	0	1	355	4
2017-11-13-3541	pfama1.008	36	0.0632689	66959(93.8%)	1	0	1	66959	2
2017-11-13-3542	pfama1.000	90	0.158172	94(83.2%)	2	0	0.580483	54	2
2017-11-13-3542	pfama1.026	12	0.0210896	94(83.2%)	2	1	0.419517	40	2
2017-11-13-3547	pfama1.006	38	0.0667838	31579(95%)	1	0	1	31579	2
2017-11-13-3557	pfama1.022	13	0.0228471	119407(99.5%)	1	0	1	119407	2
2017-11-13-3602	pfama1.000	90	0.158172	5055(96.2%)	7	0	0.348309	1745	2
2017-11-13-3602	pfama1.019	15	0.026362	5055(96.2%)	7	1	0.316032	1590	2
2017-11-13-3602	pfama1.022	13	0.0228471	5055(96.2%)	7	2	0.130212	652	2
2017-11-13-3602	pfama1.006	38	0.0667838	5055(96.2%)	7	3	0.129837	680	2
2017-11-13-3602	pfama1.028	10	0.0175747	5055(96.2%)	7	4	0.0332024	173	2
2017-11-13-3602	pfama1.002	70	0.123023	5055(96.2%)	7	5	0.0222352	112	2
2017-11-13-3602	pfama1.005	49	0.086116	5055(96.2%)	7	6	0.0201722	103	2
2017-11-13-3604	pfama1.014	29	0.0509666	4366(52.8%)	3	0	0.512869	1864	2
2017-11-13-3604	pfama1.009	35	0.0615114	4366(52.8%)	3	1	0.340667	1806	2
2017-11-13-3604	pfama1.001	72	0.126538	4366(52.8%)	3	2	0.146464	696	2
2017-11-13-3719	pfama1.017	20	0.0351494	44534(99.2%)	2	0	0.957328	42394	2
2017-11-13-3719	pfama1.005	49	0.086116	44534(99.2%)	2	1	0.0426723	2140	2
2017-11-14-3578	pfama1.022	13	0.0228471	4084(95%)	8	0	0.333149	1353	2
2017-11-14-3578	pfama1.013	29	0.0509666	4084(95%)	8	1	0.207364	860	2
2017-11-14-3578	pfama1.012	30	0.0527241	4084(95%)	8	2	0.194251	792	2
2017-11-14-3578	pfama1.038	5	0.00878735	4084(95%)	8	3	0.111269	447	2
2017-11-14-3578	pfama1.018	16	0.0281195	4084(95%)	8	4	0.0734984	299	2
2017-11-14-3578	pfama1.014	29	0.0509666	4084(95%)	8	5	0.0496206	205	2
2017-11-14-3578	pfama1.008	36	0.0632689	4084(95%)	8	6	0.0195558	80	2
2017-11-14-3578	pfama1.006	38	0.0667838	4084(95%)	8	7	0.0112922	48	2
2017-11-14-3579	pfama1.029	9	0.0158172	9454(97.4%)	1	0	1	9454	2
2017-11-14-3580	pfama1.006	38	0.0667838	68325(90.9%)	1	0	1	68325	2
2017-11-14-3612	pfama1.012	30	0.0527241	35002(68.3%)	2	0	0.540348	18924	2
2017-11-14-3612	pfama1.000	90	0.158172	35002(68.3%)	2	1	0.459652	16078	2
2017-11-14-3614	pfama1.002	70	0.123023	1273(93.4%)	1	0	1	1273	2
2017-11-14-3615	pfama1.005	49	0.086116	1621(94.9%)	1	0	1	1621	2
2017-11-14-3616	pfama1.002	70	0.123023	20759(99.2%)	1	0	1	20759	2
2017-11-14-3617	pfama1.006	38	0.0667838	4649(97.1%)	1	0	1	4649	2
2017-11-15-3627	pfama1.010	34	0.059754	49822(93%)	1	0	1	49822	2
2017-11-15-3630	pfama1.007	37	0.0650264	15786(99.1%)	1	0	1	15786	2
2017-11-15-3642	pfama1.002	70	0.123023	20003(95.1%)	1	0	1	20003	2
2017-11-17-3779	pfama1.012	30	0.0527241	201966(99%)	1	0	1	201966	2
2017-11-20-3154	pfama1.000	90	0.158172	98726(98.1%)	1	0	1	98726	2
2017-11-20-3190	pfama1.001	72	0.126538	43552(97.5%)	1	0	1	43552	2
2017-11-20-3202	pfama1.027	11	0.0193322	510(92.1%)	2	0	0.771226	394	2
2017-11-20-3202	pfama1.025	12	0.0210896	510(92.1%)	2	1	0.228774	116	2
2017-11-20-3205	pfama1.027	11	0.0193322	15690(66.5%)	2	0	0.76737	12003	2
2017-11-20-3205	pfama1.000	90	0.158172	15690(66.5%)	2	1	0.23263	3687	2
2017-11-20-3649	pfama1.000	90	0.158172	32218(69.1%)	1	0	1	32218	2
2017-11-20-3659	pfama1.016	22	0.0386643	8379(98.7%)	1	0	1	8379	2
2017-11-20-3661	pfama1.006	38	0.0667838	377873(78.2%)	1	0	1	377873	3
2017-11-20-3665	pfama1.002	70	0.123023	122188(98.4%)	1	0	1	122188	2
2017-11-21-3672	pfama1.026	12	0.0210896	39262(96.6%)	2	0	0.95777	37604	2
2017-11-21-3672	pfama1.003	55	0.0966608	39262(96.6%)	2	1	0.0422305	1658	2
2017-11-21-3673	pfama1.005	49	0.086116	48343(94.2%)	1	0	1	48343	2
2017-11-21-3677	pfama1.011	30	0.0527241	163(90.6%)	3	0	0.551149	89	2
2017-11-21-3677	pfama1.009	35	0.0615114	163(90.6%)	3	1	0.322742	54	2
2017-11-21-3677	pfama1.021	14	0.0246046	163(90.6%)	3	2	0.126108	20	2
2017-11-21-3685	pfama1.031	9	0.0158172	26131(88.6%)	2	0	0.771062	20973	2
2017-11-21-3685	pfama1.023	13	0.0228471	26131(88.6%)	2	1	0.228938	5158	2
2017-11-22-3708	pfama1.005	49	0.086116	152795(98.7%)	1	0	1	152795	2
2017-11-22-3709	pfama1.015	22	0.0386643	70296(95.7%)	1	0	1	70296	2
2017-11-22-3713	pfama1.018	16	0.0281195	59681(95.7%)	1	0	1	59681	2
2017-11-22-3714	pfama1.008	36	0.0632689	10434(97.2%)	2	0	0.835495	8957	2
2017-11-22-3714	pfama1.004	53	0.0931459	10434(97.2%)	2	1	0.164505	1477	2
2017-11-22-3719	pfama1.017	20	0.0351494	21284(93.2%)	1	0	1	21284	2
2017-11-22-3720	pfama1.001	72	0.126538	41802(91.7%)	2	0	0.663215	28706	2
