unfiltered	filtered	sample
27657	21198	2017-10-04-3079-PR2-008-A
1502	1441	2017-10-04-3079-PR2-008-B
21682	21320	2017-10-04-3093-PR2-008-A
7519	7390	2017-10-04-3093-PR2-008-B
35307	34849	2017-10-04-3096-PR2-0061-A
40602	40009	2017-10-04-3096-PR2-0061-B
183	179	2017-10-04-3313-PR2-0072-A
27040	26767	2017-10-04-3313-PR2-0072-B
25391	25107	2017-10-04-3315-PR2-0071-A
22655	22340	2017-10-04-3315-PR2-0071-B
2416	2315	2017-10-04-3364-PR2-0062-A
7623	7439	2017-10-04-3364-PR2-0062-B
12435	9	2017-10-04-3505-PR2-010-a
14093	5	2017-10-04-3505-PR2-010-b
52591	51977	2017-10-04-3510-PR2-009-A
69	1	2017-10-04-3510-PR2-009-B
20535	20147	2017-10-04-3510-PR2-011-a
19798	19386	2017-10-04-3510-PR2-011-b
50192	49656	2017-10-09-3001-PR2-009-A
59909	59219	2017-10-09-3001-PR2-009-B
11122	4	2017-10-09-3003-PR2-010-a
10698	3	2017-10-09-3003-PR2-010-b
14253	13686	2017-10-09-3162-PR2-010-a
12608	3	2017-10-09-3162-PR2-010-b
64345	63387	2017-10-09-3163-PR2-0061-A
51625	50852	2017-10-09-3163-PR2-0061-B
27291	26906	2017-10-09-3164-PR2-0071-A
29929	29558	2017-10-09-3164-PR2-0071-B
26041	25720	2017-10-10-3284-PR2-0071-A
27924	27564	2017-10-10-3284-PR2-0071-B
37893	37361	2017-10-10-3285-PR2-0061-A
38951	38387	2017-10-10-3285-PR2-0061-B
30932	30534	2017-10-10-3523-PR2-008-A
33520	33127	2017-10-10-3523-PR2-008-B
45	0	2017-10-10-3527-PR2-009-A
39899	39424	2017-10-10-3527-PR2-009-B
14555	4	2017-10-10-3527-PR2-010-a
7888	4	2017-10-10-3527-PR2-010-b
15830	20	2017-10-11-3038-PR2-010-a
10620	2	2017-10-11-3038-PR2-010-b
45585	44913	2017-10-11-3236-PR2-009-A
39927	39316	2017-10-11-3236-PR2-009-B
12192	5	2017-10-11-3336-PR2-010-a
11832	9	2017-10-11-3336-PR2-010-b
13655	13177	2017-10-11-3529-PR2-010-a
2700	1	2017-10-11-3529-PR2-010-b
3	0	2017-10-11-3530-PR2-009-A
39257	38724	2017-10-11-3530-PR2-009-B
837	2	2017-10-11-3530-PR2-011-a
12556	11110	2017-10-11-3530-PR2-011-b
34191	33649	2017-10-16-3540-PR2-0062-A
30613	30211	2017-10-16-3540-PR2-0062-B
23522	23107	2017-10-16-3541-PR2-008-A
26125	25664	2017-10-16-3541-PR2-008-B
17588	17377	2017-10-16-3542-PR2-0061-A
34856	34390	2017-10-16-3542-PR2-0061-B
20876	20606	2017-10-16-3546-PR2-0072-A
29937	29581	2017-10-16-3546-PR2-0072-B
17025	16489	2017-10-16-3547-PR2-010-a
23831	22977	2017-10-16-3547-PR2-010-b
28495	28213	2017-10-16-3549-PR2-008-A
25773	25486	2017-10-16-3549-PR2-008-B
24131	23870	2017-10-16-3557-PR2-0071-A
29157	28799	2017-10-16-3557-PR2-0071-B
11626	2	2017-10-17-3575-PR2-010-a
18429	17931	2017-10-17-3575-PR2-010-b
21315	21024	2017-10-17-3577-PR2-008-A
28745	28328	2017-10-17-3577-PR2-008-B
31566	31108	2017-10-17-3578-PR2-0071-A
19348	19082	2017-10-17-3578-PR2-0071-B
42391	41675	2017-10-17-3579-PR2-009-A
51891	51127	2017-10-17-3579-PR2-009-B
35733	35287	2017-10-17-3580-PR2-0072-A
25835	25448	2017-10-17-3580-PR2-0072-B
16174	15642	2017-10-17-3595-PR2-010-a
15599	3	2017-10-17-3595-PR2-010-b
12777	12606	2017-10-17-3602-PR2-0062-A
50087	49409	2017-10-17-3602-PR2-0062-B
92	49	2017-10-17-3604-PR2-0061-A
65483	64536	2017-10-17-3604-PR2-0061-B
87917	86740	2017-10-17-3612-PR2-0061-A
73375	72462	2017-10-17-3612-PR2-0061-B
23123	22799	2017-10-17-3614-PR2-008-A
26281	25940	2017-10-17-3614-PR2-008-B
28204	27864	2017-10-17-3615-PR2-0072-A
29630	29261	2017-10-17-3615-PR2-0072-B
16768	16554	2017-10-17-3616-PR2-0072-A
34604	34169	2017-10-17-3616-PR2-0072-B
27032	26632	2017-10-17-3617-PR2-0071-A
39091	38511	2017-10-17-3617-PR2-0071-B
9232	2	2017-10-18-3627-PR2-010-a
14618	14183	2017-10-18-3627-PR2-010-b
34323	33905	2017-10-18-3630-PR2-0071-A
26106	25784	2017-10-18-3630-PR2-0071-B
12888	1	2017-10-18-3637-PR2-010-a
10542	1	2017-10-18-3637-PR2-010-b
3	0	2017-10-18-3642-PR2-009-A
30512	30078	2017-10-18-3642-PR2-009-B
30464	29701	2017-10-18-3642-PR2-010-a
22978	22336	2017-10-18-3642-PR2-010-b
