s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-04-3079	pfama1.013	39	0.0531335	20483(95.8%)	1	0	1	20483	2
2017-10-04-3093	pfama1.034	7	0.00953678	26293(97%)	1	0	1	26293	2
2017-10-04-3096	pfama1.019	22	0.0299728	70307(98.5%)	5	0	0.559938	39319	2
2017-10-04-3096	pfama1.010	49	0.0667575	70307(98.5%)	5	1	0.322017	22660	2
2017-10-04-3096	pfama1.027	12	0.0163488	70307(98.5%)	5	2	0.0518594	3634	2
2017-10-04-3096	pfama1.009	50	0.0681199	70307(98.5%)	5	3	0.0501291	3539	2
2017-10-04-3096	pfama1.012	40	0.0544959	70307(98.5%)	5	4	0.0160567	1155	2
2017-10-04-3313	pfama1.004	66	0.0899183	24642(97%)	1	0	1	24642	2
2017-10-04-3315	pfama1.024	18	0.0245232	38510(85.5%)	3	0	0.638922	24872	2
2017-10-04-3315	pfama1.010	49	0.0667575	38510(85.5%)	3	1	0.245222	9381	2
2017-10-04-3315	pfama1.014	39	0.0531335	38510(85.5%)	3	2	0.115856	4257	2
2017-10-04-3364	pfama1.017	23	0.0313351	9272(99.2%)	1	0	1	9272	2
2017-10-04-3510	pfama1.027	12	0.0163488	61881(72.5%)	1	0	1	61881	3
2017-10-09-3001	pfama1.004	66	0.0899183	93965(91.5%)	1	0	1	93965	2
2017-10-09-3162	pfama1.046	2	0.0027248	10809(87.8%)	3	0	0.988251	10682	1
2017-10-09-3162	pfama1.254	1	0.0013624	10809(87.8%)	3	1	0.00592099	64	1
2017-10-09-3162	pfama1.256	1	0.0013624	10809(87.8%)	3	2	0.00582848	63	1
2017-10-09-3163	pfama1.002	95	0.129428	104218(95.7%)	3	0	0.594843	62015	2
2017-10-09-3163	pfama1.000	125	0.1703	104218(95.7%)	3	1	0.348488	36257	2
2017-10-09-3163	pfama1.012	40	0.0544959	104218(95.7%)	3	2	0.0566687	5946	2
2017-10-09-3164	pfama1.000	125	0.1703	52464(97.4%)	2	0	0.893342	46931	2
2017-10-09-3164	pfama1.011	47	0.0640327	52464(97.4%)	2	1	0.106658	5533	2
2017-10-10-3284	pfama1.013	39	0.0531335	40654(80.3%)	2	0	0.732973	29814	2
2017-10-10-3284	pfama1.010	49	0.0667575	40654(80.3%)	2	1	0.267027	10840	2
2017-10-10-3285	pfama1.010	49	0.0667575	70370(97.4%)	5	0	0.641881	45156	2
2017-10-10-3285	pfama1.001	107	0.145777	70370(97.4%)	5	1	0.259453	18267	2
2017-10-10-3285	pfama1.041	4	0.00544959	70370(97.4%)	5	2	0.0434659	3061	2
2017-10-10-3285	pfama1.008	50	0.0681199	70370(97.4%)	5	3	0.0276246	1946	2
2017-10-10-3285	pfama1.023	19	0.0258856	70370(97.4%)	5	4	0.0275758	1940	2
2017-10-10-3523	pfama1.006	54	0.0735695	56889(94.9%)	1	0	1	56889	2
2017-10-11-3236	pfama1.011	47	0.0640327	71150(89.5%)	1	0	1	71150	2
2017-10-11-3529	pfama1.017	23	0.0313351	10496(87.5%)	6	0	0.945884	9928	1
2017-10-11-3529	pfama1.103	1	0.0013624	10496(87.5%)	6	1	0.0276296	290	1
2017-10-11-3529	pfama1.200	1	0.0013624	10496(87.5%)	6	2	0.00733613	77	1
2017-10-11-3529	pfama1.209	1	0.0013624	10496(87.5%)	6	3	0.00714558	75	1
2017-10-11-3529	pfama1.243	1	0.0013624	10496(87.5%)	6	4	0.00619284	65	1
2017-10-11-3529	pfama1.258	1	0.0013624	10496(87.5%)	6	5	0.00581174	61	1
2017-10-11-3530	pfama1.020	22	0.0299728	44017(93.6%)	1	0	1	44017	2
2017-10-16-3540	pfama1.010	49	0.0667575	60067(98.4%)	1	0	1	60067	2
2017-10-16-3541	pfama1.008	50	0.0681199	42605(92.8%)	1	0	1	42605	2
2017-10-16-3542	pfama1.001	107	0.145777	48073(97.6%)	5	0	0.78701	37965	2
2017-10-16-3542	pfama1.010	49	0.0667575	48073(97.6%)	5	1	0.144448	6801	2
2017-10-16-3542	pfama1.030	10	0.013624	48073(97.6%)	5	2	0.0506679	2395	2
2017-10-16-3542	pfama1.000	125	0.1703	48073(97.6%)	5	3	0.00964665	494	2
2017-10-16-3542	pfama1.015	27	0.0367847	48073(97.6%)	5	4	0.00822695	418	2
2017-10-16-3546	pfama1.007	50	0.0681199	45775(96.7%)	1	0	1	45775	2
2017-10-16-3547	pfama1.005	56	0.0762943	28910(80.4%)	2	0	0.993176	28716	2
2017-10-16-3547	pfama1.062	2	0.0027248	28910(80.4%)	2	1	0.00682419	194	2
2017-10-16-3549	pfama1.007	50	0.0681199	46573(91.9%)	1	0	1	46573	2
2017-10-16-3557	pfama1.021	21	0.0286104	47785(95.5%)	1	0	1	47785	2
2017-10-17-3575	pfama1.000	125	0.1703	14135(85.5%)	5	0	0.793845	11221	1
2017-10-17-3575	pfama1.077	1	0.0013624	14135(85.5%)	5	1	0.156845	2217	1
2017-10-17-3575	pfama1.101	1	0.0013624	14135(85.5%)	5	2	0.0282278	399	1
2017-10-17-3575	pfama1.127	1	0.0013624	14135(85.5%)	5	3	0.0146445	207	1
2017-10-17-3575	pfama1.237	1	0.0013624	14135(85.5%)	5	4	0.00643792	91	1
2017-10-17-3577	pfama1.000	125	0.1703	43708(94.3%)	1	0	1	43708	2
2017-10-17-3578	pfama1.009	50	0.0681199	36832(77.2%)	9	0	0.331082	11865	2
2017-10-17-3578	pfama1.039	5	0.00681199	36832(77.2%)	9	1	0.218153	8023	2
2017-10-17-3578	pfama1.011	47	0.0640327	36832(77.2%)	9	2	0.173104	6756	2
2017-10-17-3578	pfama1.003	71	0.0967302	36832(77.2%)	9	3	0.0639711	2143	2
2017-10-17-3578	pfama1.029	11	0.0149864	36832(77.2%)	9	4	0.0635028	2419	2
2017-10-17-3578	pfama1.018	23	0.0313351	36832(77.2%)	9	5	0.0613628	2197	2
2017-10-17-3578	pfama1.005	56	0.0762943	36832(77.2%)	9	6	0.0537461	1970	2
2017-10-17-3578	pfama1.013	39	0.0531335	36832(77.2%)	9	7	0.0248265	1051	2
2017-10-17-3578	pfama1.016	24	0.0326975	36832(77.2%)	9	8	0.0102518	408	2
2017-10-17-3579	pfama1.032	9	0.0122616	78871(89.9%)	1	0	1	78871	2
2017-10-17-3580	pfama1.010	49	0.0667575	54317(94.3%)	2	0	0.986612	53566	2
2017-10-17-3580	pfama1.005	56	0.0762943	54317(94.3%)	2	1	0.0133881	751	2
2017-10-17-3595	pfama1.002	95	0.129428	11642(81.7%)	5	0	0.87923	10236	1
2017-10-17-3595	pfama1.082	1	0.0013624	11642(81.7%)	5	1	0.0769627	896	1
2017-10-17-3595	pfama1.106	1	0.0013624	11642(81.7%)	5	2	0.0238791	278	1
2017-10-17-3595	pfama1.038	6	0.00817439	11642(81.7%)	5	3	0.0120254	140	1
2017-10-17-3595	pfama1.055	2	0.0027248	11642(81.7%)	5	4	0.00790242	92	1
2017-10-17-3602	pfama1.020	22	0.0299728	57558(97.4%)	5	0	0.821681	46661	2
2017-10-17-3602	pfama1.003	71	0.0967302	57558(97.4%)	5	1	0.107721	6874	2
2017-10-17-3602	pfama1.023	19	0.0258856	57558(97.4%)	5	2	0.0305189	1839	2
2017-10-17-3602	pfama1.000	125	0.1703	57558(97.4%)	5	3	0.0268084	1520	2
2017-10-17-3602	pfama1.005	56	0.0762943	57558(97.4%)	5	4	0.01327	664	2
2017-10-17-3604	pfama1.015	27	0.0367847	41535(67.5%)	4	0	0.338068	23452	2
2017-10-17-3604	pfama1.005	56	0.0762943	41535(67.5%)	4	1	0.320734	9344	2
2017-10-17-3604	pfama1.020	22	0.0299728	41535(67.5%)	4	2	0.235057	6840	2
2017-10-17-3604	pfama1.007	50	0.0681199	41535(67.5%)	4	3	0.106141	1899	2
2017-10-17-3612	pfama1.009	50	0.0681199	145443(95.7%)	4	0	0.943117	137113	2
2017-10-17-3612	pfama1.002	95	0.129428	145443(95.7%)	4	1	0.0263448	3879	2
2017-10-17-3612	pfama1.000	125	0.1703	145443(95.7%)	4	2	0.0240177	3508	2
2017-10-17-3612	pfama1.003	71	0.0967302	145443(95.7%)	4	3	0.00652004	943	2
2017-10-17-3614	pfama1.002	95	0.129428	39541(86.4%)	2	0	0.959091	37947	2
2017-10-17-3614	pfama1.039	5	0.00681199	39541(86.4%)	2	1	0.0409085	1594	2
2017-10-17-3615	pfama1.003	71	0.0967302	52080(96%)	1	0	1	52080	2
2017-10-17-3616	pfama1.002	95	0.129428	45888(95.6%)	1	0	1	45888	2
2017-10-17-3617	pfama1.005	56	0.0762943	59196(95.4%)	1	0	1	59196	2
2017-10-18-3627	pfama1.010	49	0.0667575	10805(82.9%)	4	0	0.972605	10509	1
2017-10-18-3627	pfama1.130	1	0.0013624	10805(82.9%)	4	1	0.0135123	146	1
2017-10-18-3627	pfama1.218	1	0.0013624	10805(82.9%)	4	2	0.00694123	75	1
2017-10-18-3627	pfama1.219	1	0.0013624	10805(82.9%)	4	3	0.00694123	75	1
2017-10-18-3630	pfama1.014	39	0.0531335	54641(96.3%)	1	0	1	54641	2
2017-10-18-3642	pfama1.002	95	0.129428	69731(92.4%)	1	0	1	69731	3
2017-10-23-3122	pfama1.001	107	0.145777	26818(84%)	1	0	1	26818	2
2017-10-23-3154	pfama1.000	125	0.1703	124089(98.4%)	1	0	1	124089	2
2017-10-23-3190	pfama1.001	107	0.145777	43980(93%)	1	0	1	43980	2
2017-10-23-3202	pfama1.022	19	0.0258856	35421(81.4%)	3	0	0.570208	20316	2
2017-10-23-3202	pfama1.026	14	0.0190736	35421(81.4%)	3	1	0.311006	10976	2
2017-10-23-3202	pfama1.019	22	0.0299728	35421(81.4%)	3	2	0.118786	4129	2
2017-10-23-3205	pfama1.026	14	0.0190736	54205(92.2%)	2	0	0.766983	41484	2
2017-10-23-3205	pfama1.022	19	0.0258856	54205(92.2%)	2	1	0.233017	12721	2
2017-10-23-3649	pfama1.000	125	0.1703	348(84.9%)	1	0	1	348	2
2017-10-23-3659	pfama1.030	10	0.013624	63146(75.6%)	2	0	0.533611	34050	2
2017-10-23-3659	pfama1.013	39	0.0531335	63146(75.6%)	2	1	0.466389	29096	2
2017-10-23-3665	pfama1.002	95	0.129428	71500(94.2%)	1	0	1	71500	2
2017-10-24-3672	pfama1.025	17	0.0231608	11(100%)	1	0	1	11	1
